Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
600.0,0.01,6.0,2.0,0.0,0.01081,0.06651,247.05856,253.50098,0.01081,4243.0,2952.0,0.59374,250.76098
600.0,0.01,1.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2435.0,344.52,248.38913
600.0,0.01,2.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2477.0,0.3367,248.38913
600.0,0.01,3.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2446.0,445.5,248.38913
600.0,0.01,4.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2454.0,420.02143,248.38913
600.0,0.01,5.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2445.0,0.25253,248.38913
600.0,0.01,6.0,2.0,0.0,0.024,0.07458,244.36434,254.49829,0.024,4242.0,2466.0,0.85005,248.38913
600.0,0.01,1.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,0.02614,4238.0,2148.0,316.94128,242.04706
600.0,0.01,2.0,3.0,0.0,0.02614,0.13516,226.78341,248.54321,0.02614,4238.0,2258.0,0.6734,242.04706
600.0,0.01,3.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,0.02614,4238.0,1981.0,427.14221,242.04706
600.0,0.01,4.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,0.02614,4238.0,1978.0,400.13808,242.04706
600.0,0.01,5.0,4.0,0.0,0.02597,0.13516,226.78341,248.50087,0.02597,4238.0,4241.0,5.42088,242.04706
600.0,0.01,6.0,3.0,0.0,0.01962,0.13516,226.78341,246.89115,0.01962,4238.0,4057.0,10.53589,242.04706
600.0,0.01,1.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2593.0,344.52,246.07828
600.0,0.01,2.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2615.0,0.3367,246.07828
600.0,0.01,3.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2581.0,445.5,246.07828
600.0,0.01,4.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2592.0,420.02143,246.07828
600.0,0.01,5.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2621.0,0.25253,246.07828
600.0,0.01,6.0,2.0,0.0,0.01388,0.08719,242.86644,249.54281,0.01388,4237.0,2844.0,0.73423,246.07828
600.0,0.01,1.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2595.0,344.52,242.765
600.0,0.01,2.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2604.0,0.3367,242.765
600.0,0.01,3.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2594.0,445.5,242.765
600.0,0.01,4.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2619.0,420.02143,242.765
600.0,0.01,5.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2619.0,0.25253,242.765
600.0,0.01,6.0,2.0,0.0,0.02538,0.07084,243.84789,249.08739,0.02103,4239.0,2657.0,0.86627,242.765
600.0,0.01,1.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2482.0,344.52,248.77496
600.0,0.01,2.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2455.0,0.3367,248.77496
600.0,0.01,3.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2447.0,445.5,248.77496
600.0,0.01,4.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2433.0,420.02143,248.77496
600.0,0.01,5.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2444.0,0.25253,248.77496
600.0,0.01,6.0,2.0,0.0,0.01925,0.06218,246.25401,253.65826,0.01925,4237.0,2468.0,0.85747,248.77496
600.0,0.01,1.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,2537.0,344.52,248.13319
600.0,0.01,2.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,2523.0,0.3367,248.13319
600.0,0.01,3.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,2532.0,445.5,248.13319
600.0,0.01,4.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,2500.0,420.02143,248.13319
600.0,0.01,5.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,2532.0,0.25253,248.13319
600.0,0.01,6.0,2.0,0.0,0.00648,0.09205,242.58037,249.75237,0.00648,4252.0,4249.0,12.51691,248.13319
600.0,0.01,1.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2653.0,344.52,239.38435
600.0,0.01,2.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2650.0,0.3367,239.38435
600.0,0.01,3.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2591.0,445.5,239.38435
600.0,0.01,4.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2605.0,420.02143,239.38435
600.0,0.01,5.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2627.0,0.25253,239.38435
600.0,0.01,6.0,2.0,0.0,0.03639,0.07442,242.59375,248.4258,0.02348,4236.0,2700.0,0.8729,239.38435
600.0,0.01,1.0,10.0,0.0,0.02103,0.10243,237.65901,251.00465,0.02103,4238.0,1949.0,316.68,245.72631
