Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR
600.0,0.01,1.0,10.0,0.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,1699.0,316.68,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,2.0,10.0,0.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,1787.0,200.0,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,3.0,10.0,0.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,1647.0,427.14221,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,4.0,10.0,0.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,1648.0,400.13808,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,5.0,10.0,0.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,1907.0,0.0,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,6.0,3.0,1.0,0.01604,0.06849,246.57188,252.54939,252.54939,0.01604,4243.0,3830.0,0.84111,248.49909,0.0,1.0,1.21176,5.0,
600.0,0.01,1.0,10.0,0.0,0.04313,0.05381,252.31788,262.98686,258.25505,0.04057,4238.0,2140.0,316.68,251.64445,0.0,1.0,1.17689,6.0,
600.0,0.01,2.0,10.0,0.0,0.04484,0.05381,252.31788,263.45694,258.25505,0.04228,4238.0,2188.0,200.0,251.64445,0.0,1.0,1.17689,6.0,
600.0,0.01,3.0,10.0,0.0,0.04283,0.05381,252.31788,262.90503,258.25505,0.04027,4238.0,2146.0,427.14221,251.64445,0.0,1.0,1.17689,6.0,
600.0,0.01,4.0,10.0,0.0,0.04283,0.05381,252.31788,262.90503,258.25505,0.04027,4238.0,2141.0,400.13808,251.64445,0.0,1.0,1.17689,6.0,
600.0,0.01,5.0,10.0,0.0,0.04509,0.05381,252.31788,263.52599,258.25505,0.04253,4238.0,2196.0,0.0,251.64445,0.0,1.0,1.17689,6.0,
600.0,0.01,6.0,3.0,0.0,0.04065,0.05381,252.31788,262.30665,256.52452,0.03808,4238.0,4239.0,0.0,251.64445,0.0,3.0,0.84133,5.0,
600.0,0.01,1.0,10.0,0.0,0.06418,0.07896,241.72673,262.01076,250.28257,0.06418,4236.0,2136.0,316.68,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,2.0,10.0,0.0,0.06418,0.07896,241.72673,262.01076,250.28257,0.06418,4236.0,2172.0,200.0,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,3.0,10.0,0.0,0.06418,0.07896,241.72673,262.01076,250.28257,0.06418,4236.0,2136.0,427.14221,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,4.0,10.0,0.0,0.06418,0.07896,241.72673,262.01076,250.28257,0.06418,4236.0,2137.0,400.13808,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,5.0,10.0,0.0,0.06462,0.07896,241.72673,262.13546,250.28257,0.06462,4236.0,2201.0,0.0,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,6.0,3.0,0.0,0.06651,0.07896,241.72673,262.66582,250.28257,0.06651,4236.0,4243.0,0.0,245.19598,0.0,1.0,1.31333,4.0,
600.0,0.01,1.0,10.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,1768.0,316.72096,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,2.0,10.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,1856.0,200.0,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,3.0,10.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,1737.0,427.14221,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,4.0,10.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,1742.0,400.13808,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,5.0,10.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,1882.0,0.0,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,6.0,3.0,0.0,0.03127,0.05436,248.41553,253.41009,253.41009,0.01971,4236.0,3796.0,0.0,245.48647,0.0,1.0,1.20096,2.0,
600.0,0.01,1.0,10.0,0.0,0.05364,0.07176,244.96548,263.46774,251.74042,0.05364,4240.0,2140.0,316.68,249.33468,0.0,1.0,1.30713,3.0,
600.0,0.01,2.0,10.0,0.0,0.05409,0.07176,244.96548,263.59121,251.74042,0.05409,4240.0,2180.0,200.0,249.33468,0.0,1.0,1.30713,3.0,
600.0,0.01,3.0,10.0,0.0,0.05325,0.07176,244.96548,263.35763,251.74042,0.05325,4240.0,2141.0,427.14221,249.33468,0.0,1.0,1.30713,3.0,
600.0,0.01,4.0,10.0,0.0,0.05359,0.07176,244.96548,263.4526,251.74042,0.05359,4240.0,2141.0,400.13808,249.33468,0.0,1.0,1.30713,3.0,
600.0,0.01,5.0,10.0,0.0,0.05409,0.07176,244.96548,263.59121,251.74042,0.05409,4240.0,2203.0,0.0,249.33468,0.0,1.0,1.30713,3.0,
600.0,0.01,6.0,3.0,0.0,0.03624,0.07176,244.96548,258.71161,251.23904,0.03624,4240.0,4255.0,0.0,249.33468,0.0,3.0,0.83473,2.0,
600.0,0.01,1.0,10.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,1965.0,316.84893,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,2.0,10.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,2056.0,200.0,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,3.0,10.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,1899.0,427.14221,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,4.0,10.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,1905.0,400.13808,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,5.0,10.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,2099.0,0.0,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,6.0,3.0,0.0,0.02162,0.06845,242.3319,250.49786,250.49786,0.02162,4239.0,4091.0,2.02276,245.08257,0.0,1.0,1.32893,2.0,
600.0,0.01,1.0,10.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,1550.0,316.68331,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,2.0,10.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,1692.0,200.0,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,3.0,10.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,1563.0,427.14221,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,4.0,10.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,1560.0,400.13808,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,5.0,10.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,1684.0,0.0,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,6.0,3.0,0.0,0.01804,0.06651,247.05856,255.36799,255.36799,0.01804,4243.0,3554.0,0.0,250.76098,0.0,1.0,1.16331,2.0,
600.0,0.01,1.0,10.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,2169.0,316.68,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,2.0,10.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,2221.0,200.0,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,3.0,10.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,2144.0,427.14221,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,4.0,10.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,2143.0,400.13808,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,5.0,10.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,2267.0,0.0,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,6.0,3.0,0.0,0.04971,0.07458,244.36434,261.38236,254.49829,0.04971,4242.0,4238.0,0.0,248.38913,0.0,1.0,1.25564,5.0,
600.0,0.01,1.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,2172.0,316.94128,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,2.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,2171.0,200.0,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,3.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,2033.0,427.14221,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,4.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,2027.0,400.13808,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,5.0,10.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,2262.0,0.0,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,6.0,3.0,0.0,0.02614,0.13516,226.78341,248.54321,248.54321,0.02614,4238.0,4105.0,16.94557,242.04706,0.0,1.0,1.42128,2.0,
600.0,0.01,1.0,10.0,0.0,0.02165,0.08719,242.86644,251.5233,251.5233,0.02165,4237.0,1845.0,316.68,246.07828,0.0,1.0,1.27286,4.0,
600.0,0.01,2.0,10.0,0.0,0.02165,0.08719,242.86644,251.5233,251.5233,0.02165,4237.0,2085.0,200.0,246.07828,0.0,1.0,1.27286,4.0,
600.0,0.01,3.0,10.0,0.0,0.02165,0.08719,242.86644,251.5233,251.5233,0.02165,4237.0,1829.0,427.14221,246.07828,0.0,1.0,1.27286,4.0,
600.0,0.01,4.0,10.0,0.0,0.02165,0.08719,242.86644,251.5233,251.5233,0.02165,4237.0,1828.0,400.13808,246.07828,0.0,1.0,1.27286,4.0,
