Time,QP
48.0,-252.477
49.0,-254.515
40.0,-248.213
46.0,-247.709
40.0,-249.918
49.0,-249.121
46.0,-251.687
49.0,-250.621
46.0,-246.2
48.0,-247.726
40.0,-243.276
48.0,-250.24
49.0,-250.947
49.0,-239.79
43.0,-248.296
49.0,-248.049
43.0,-249.573
49.0,-246.937
49.0,-242.474
38.0,-243.572
