3383      0.021
1150 5      0.117       0.042 Equation   Const_4_1 (19800)
1025 2      0.209       0.005 Loop       
1201 6      0.121       0.058 GAMS Fini   
1154 3      0.098       0.046 Equation   Const_4_2 (19800)
1201 1      0.374       0.058 Solve Fini schedule (661525)
1118 4      0.150       0.015 Equation   Objective (1)
1158 7      0.045       0.052 Equation   Const_5 (20700)
1163 8      0.034       0.057 Equation   Const_6 (20700)
1141 10      0.031       0.031 Equation   Const_3_1 (20700)
1144 9      0.031       0.038 Equation   Const_3_2 (20700)
