Time,QP
81.0,-243.692
87.0,-240.726
87.0,-249.233
64.0,-247.669
79.0,-249.22
86.0,-251.408
64.0,-244.21
81.0,-248.64
65.0,-247.214
77.0,-247.931
61.0,-250.398
85.0,-247.071
85.0,-246.086
73.0,-246.789
74.0,-247.973
72.0,-238.989
82.0,-247.924
80.0,-246.792
75.0,-240.526
82.0,-245.968
