523      0.011
480 7      0.218       0.009 Equation   Const_5 (2300)
477 10      0.280       0.008 Equation   Const_4_2 (2200)
474 2      0.234       0.008 Equation   Const_4_1 (2200)
469 8      0.151       0.007 Equation   Const_3_2 (2300)
466 3      0.184       0.007 Equation   Const_3_1 (2300)
450 1      0.071       0.006 Equation   Const1_1 (2400)
536 5      0.553       0.010 GAMS Fini   
484 4      0.273       0.009 Equation   Const_6 (2300)
489 6      0.012       0.004 Assignment X (2400)
536 9      0.283       0.010 Solve Fini schedule (73525)
