Unnamed: 0,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
1,100.0,0.05,2.0,4.0,0.0,0.52364,0.43436,6405.29805,10738.86075,0.40354,4206.0,4462.0,790.8448,5115.5459,5706.96923,5115.57087
2,100.0,0.05,3.0,3.0,0.0,0.61334,0.43436,6405.29805,10197.42954,0.37187,4206.0,4334.0,879.0948,3942.96371,5706.96923,5115.57087
3,100.0,0.05,4.0,3.0,0.0,0.61349,0.43436,6405.29805,10201.43057,0.37212,4206.0,4332.0,879.42251,3942.96371,5706.96923,5115.57087
4,100.0,0.05,5.0,3.0,0.0,0.51229,0.43436,6405.29805,10488.86075,0.38932,4206.0,4337.0,840.8448,5115.5459,5706.96923,5115.57087
5,100.0,0.05,6.0,4.0,0.0,0.62981,0.43436,6405.29805,10651.31769,0.39864,4206.0,4331.0,0.0,3942.96371,5706.96923,5115.57087
0,100.0,0.05,1.0,2.0,0.0,0.58228,0.4209,6541.97553,9842.31604,0.33532,4200.0,2664.0,846.74553,4111.30371,5610.77231,5355.89328
1,100.0,0.05,2.0,2.0,0.0,0.49781,0.4209,6541.97553,10665.02787,0.3866,4200.0,2662.0,794.54553,5355.9119,5610.77231,5355.89328
2,100.0,0.05,3.0,2.0,0.0,0.59466,0.4209,6541.97553,10142.74466,0.35501,4200.0,2672.0,885.79553,4111.30371,5610.77231,5355.89328
3,100.0,0.05,4.0,2.0,0.0,0.59466,0.4209,6541.97553,10142.74466,0.35501,4200.0,2673.0,886.01,4111.30371,5610.77231,5355.89328
4,100.0,0.05,5.0,2.0,0.0,0.52034,0.4209,6541.97553,11166.03189,0.41412,4200.0,2662.0,944.54553,5355.9119,5610.77231,5355.89328
5,100.0,0.05,6.0,2.0,0.0,0.60915,0.4209,6541.97553,10518.86405,0.37807,4200.0,2666.0,0.0,4111.30371,5610.77231,5355.89328
0,100.0,0.05,1.0,2.0,0.0,0.57943,0.42756,6498.88603,9901.35892,0.34364,4200.0,3672.0,847.41661,4164.22737,5770.80288,5444.15096
1,100.0,0.05,2.0,2.0,0.0,0.48662,0.42756,6498.88603,10604.55858,0.38716,4200.0,3657.0,795.21661,5444.1394,5770.80288,5444.15096
2,100.0,0.05,3.0,2.0,0.0,0.58875,0.42756,6498.88603,10125.79003,0.35818,4200.0,3666.0,886.46661,4164.22737,5770.80288,5444.15096
3,100.0,0.05,4.0,2.0,0.0,0.58875,0.42756,6498.88603,10125.79003,0.35818,4200.0,3680.0,886.68108,4164.22737,5770.80288,5444.15096
4,100.0,0.05,5.0,2.0,0.0,0.5115,0.42756,6498.88603,11144.57931,0.41686,4200.0,3649.0,945.21661,5444.1394,5770.80288,5444.15096
5,100.0,0.05,6.0,2.0,0.0,0.6021,0.42756,6498.88603,10465.5324,0.37902,4200.0,3665.0,0.0,4164.22737,5770.80288,5444.15096
0,100.0,0.05,1.0,3.0,0.0,0.56837,0.42606,6646.86718,10108.14189,0.34242,4200.0,4409.0,838.20795,4362.94521,6245.64271,5465.35104
1,100.0,0.05,2.0,3.0,0.0,0.4986,0.42606,6646.86718,10900.24806,0.39021,4200.0,2518.0,988.90795,5465.3554,6245.64271,5465.35104
2,100.0,0.05,3.0,3.0,0.0,0.57683,0.42606,6646.86718,10310.1076,0.35531,4200.0,4407.0,877.15795,4362.94521,6245.64271,5465.35104
3,100.0,0.05,4.0,3.0,0.0,0.5776,0.42606,6646.86718,10328.8576,0.35648,4200.0,4408.0,877.48567,4362.94521,6245.64271,5465.35104
4,100.0,0.05,5.0,3.0,0.0,0.48783,0.42606,6646.86718,10671.0348,0.37711,4200.0,4407.0,838.90795,5465.3554,6245.64271,5465.35104
5,100.0,0.05,6.0,4.0,0.0,0.59537,0.42606,6646.86718,10782.5336,0.38355,4200.0,4409.0,0.0,4362.94521,6245.64271,5465.35104
0,100.0,0.05,1.0,2.0,0.0,0.57596,0.43468,6449.58939,10009.07124,0.35563,4200.0,3603.0,849.58557,4244.27571,5593.27875,4891.33318
1,100.0,0.05,2.0,2.0,0.0,0.5443,0.43468,6449.58939,10733.57124,0.39912,4200.0,3598.0,797.38557,4891.2659,5593.27875,4891.33318
2,100.0,0.05,3.0,2.0,0.0,0.58424,0.43468,6449.58939,10208.57124,0.36822,4200.0,3610.0,888.63557,4244.27571,5593.27875,4891.33318
3,100.0,0.05,4.0,2.0,0.0,0.58424,0.43468,6449.58939,10208.57124,0.36822,4200.0,3615.0,888.85004,4244.27571,5593.27875,4891.33318
4,100.0,0.05,5.0,2.0,0.0,0.5642,0.43468,6449.58939,11223.57124,0.42535,4200.0,3596.0,947.38557,4891.2659,5593.27875,4891.33318
5,100.0,0.05,6.0,2.0,0.0,0.59741,0.43468,6449.58939,10542.30077,0.38822,4200.0,3616.0,0.0,4244.27571,5593.27875,4891.33318
0,100.0,0.05,1.0,2.0,0.0,0.61301,0.43945,6458.49612,10027.26361,0.35591,4201.0,2807.0,841.34897,3880.46171,5906.97248,5598.91538
1,100.0,0.05,2.0,2.0,0.0,0.47899,0.43945,6458.49612,10746.22096,0.399,4201.0,2797.0,789.14897,5598.9034,5906.97248,5598.91538
2,100.0,0.05,3.0,2.0,0.0,0.62056,0.43945,6458.49612,10226.76361,0.36847,4201.0,2802.0,880.39897,3880.46171,5906.97248,5598.91538
3,100.0,0.05,4.0,2.0,0.0,0.62056,0.43945,6458.49612,10226.76361,0.36847,4201.0,2801.0,880.61343,3880.46171,5906.97248,5598.91538
4,100.0,0.05,5.0,2.0,0.0,0.49965,0.43945,6458.49612,11189.94267,0.42283,4201.0,2800.0,939.14897,5598.9034,5906.97248,5598.91538
5,100.0,0.05,6.0,2.0,0.0,0.63593,0.43945,6458.49612,10658.67561,0.39406,4201.0,2803.0,0.0,3880.46171,5906.97248,5598.91538
0,100.0,0.05,1.0,3.0,0.0,0.56772,0.43733,6293.60004,9716.54484,0.35228,4200.0,4338.0,841.58583,4200.28221,5699.24243,5170.26905
1,100.0,0.05,2.0,4.0,0.0,0.5055,0.43733,6293.60004,10455.54484,0.39806,4200.0,4475.0,792.28583,5170.2564,5699.24243,5170.26905
2,100.0,0.05,3.0,3.0,0.0,0.57623,0.43733,6293.60004,9911.79484,0.36504,4200.0,4336.0,880.53583,4200.28221,5699.24243,5170.26905
