Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
1500.0,0.01,1.0,10.0,0.0,0.1067,0.10831,236.78366,264.46336,246.87469,0.10466,4212.0,5424.0,791.7,236.24575,0.0,1.0,0.53809,3.0
1500.0,0.01,2.0,10.0,0.0,0.10665,0.10831,236.78366,264.44966,246.87469,0.10462,4212.0,6384.0,200.0,236.24575,0.0,1.0,0.53809,3.0
1500.0,0.01,3.0,10.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,5422.0,1067.85552,236.24575,0.0,1.0,0.53809,3.0
1500.0,0.01,4.0,10.0,0.0,0.10665,0.10831,236.78366,264.44966,246.87469,0.10462,4212.0,5429.0,1000.3452,236.24575,0.0,1.0,0.53809,3.0
1500.0,0.01,5.0,10.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,6232.0,0.0,236.24575,0.0,1.0,0.53809,3.0
1500.0,0.01,6.0,3.0,0.0,0.10664,0.10831,236.78366,264.44597,246.87469,0.1046,4212.0,20332.0,2.0368,236.24575,0.0,1.0,0.53809,3.0
