,Solar: actuals,Solar: forecasts,Solar: quicklow_diverse1,Solar: quicklow_diverse2,Solar: quicklow_diverse3,Solar: quicklow_diverse4,Solar: quickhigh_diverse1,Solar: quickhigh_diverse2,Solar: quickhigh_diverse3,Solar: quickhigh_diverse4
Probability,1.0,1.0,0.09585033797207727,0.1482353592889694,0.15176479329885792,0.10414950944009534,0.10414950944009536,0.1517647932988579,0.14823535928896941,0.09585033797207725
2013-11-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 06:00:00,0.3999996,89.647311,55.628530776844954,55.628530776844954,55.628530776844954,55.628530776844954,133.41573832369403,133.41573832369403,133.41573832369403,133.41573832369403
2013-11-12 07:00:00,70.70000028,103.71733788,35.67977743368991,35.67977743368991,35.67977743368991,35.67977743368991,191.25419252738806,191.25419252738806,191.25419252738806,191.25419252738806
2013-11-12 08:00:00,117.50000027999998,206.48756388000004,104.4312232105349,104.4312232105349,104.4312232105349,104.4312232105349,337.7928458510821,337.7928458510821,337.7928458510821,337.7928458510821
2013-11-12 09:00:00,783.09999924,358.2057024,222.13058150737982,222.13058150737982,222.13058150737982,222.13058150737982,533.2794116947762,533.2794116947762,533.2794116947762,533.2794116947762
2013-11-12 10:00:00,921.60000036,584.714949,414.6210478842248,414.6210478842248,414.6210478842248,414.6210478842248,803.5570856184702,803.5570856184702,803.5570856184702,803.5570856184702
2013-11-12 11:00:00,821.3000000399999,952.6978344,752.0444280548994,810.0746045836017,846.1340748852591,886.8332184628306,1063.1932582422958,1121.223434770998,1157.2829050726555,1197.982048650227
2013-11-12 12:00:00,1255.69999932,1137.4618164,906.2489048255741,1022.3092578829788,1094.4281984862935,1175.8264856414364,1139.6105274661213,1255.670880523526,1327.7898211268407,1409.1881082819837
2013-11-12 13:00:00,1236.6999996,1199.13129492,937.3588781162487,1111.4494077023558,1219.6278186073278,1341.7252493400422,1092.933293209947,1267.023822796054,1375.202233701026,1497.2996644337404
2013-11-12 14:00:00,1128.8000006400002,1002.19105272,709.8591306869232,941.9798368017326,1086.2177180083622,1249.014292318648,787.6463382337724,1019.7670443485817,1164.0049255552112,1326.8014998654971
2013-11-12 15:00:00,1045.09999932,730.05587148,407.1644442175978,697.3153268611095,877.6126783693965,1081.1083962572536,407.1644442175978,697.3153268611095,877.6126783693965,1081.1083962572536
2013-11-12 16:00:00,704.60000052,435.32210124,177.00895943007828,409.12966554488764,553.3675467515172,716.1641210618029,177.00895943007828,409.12966554488764,553.3675467515172,716.1641210618029
2013-11-12 17:00:00,425.1,168.60759864000002,0.0,148.96327186866577,257.1416827736379,379.2391135063523,0.0,148.96327186866577,257.1416827736379,379.2391135063523
2013-11-12 18:00:00,206.80000068000004,8.98243944,0.0,0.0,68.0051621957586,149.4034493509015,0.0,0.0,68.0051621957586,149.4034493509015
2013-11-12 19:00:00,76.29999936,0.0,0.0,0.0,29.511361377879297,70.21050495545074,0.0,0.0,29.511361377879297,70.21050495545074
2013-11-12 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-12 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
