"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
900.00000,0.01000,1.00000,2.00000,0.00000,0.00307,0.08049,247.06352,247.82399,0.00307,4287.00000,4035.00000,516.78000,247.06352
900.00000,0.01000,2.00000,2.00000,0.00000,0.00307,0.08049,247.06352,247.82399,0.00307,4287.00000,3618.00000,0.22447,247.06352
900.00000,0.01000,3.00000,2.00000,0.00000,0.00307,0.08049,247.06352,247.82399,0.00307,4287.00000,3575.00000,668.25000,247.06352
900.00000,0.01000,4.00000,2.00000,0.00000,0.00307,0.08049,247.06352,247.82399,0.00307,4287.00000,2784.00000,630.03214,247.06352
900.00000,0.01000,5.00000,7.00000,0.00000,0.00533,0.08049,247.06352,248.38719,0.00533,4287.00000,2408.00000,97.71086,247.06352
900.00000,0.01000,6.00000,2.00000,0.00000,0.00533,0.08049,247.06352,248.38719,0.00533,4287.00000,2620.00000,0.00000,247.06352
