,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Time,QP,IR,AP
0,600.0,0.01,1.0,2.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4202.0,138.81388,5253.78486,0.0,1.0,145.77388,6.0,,,-4748.832,-5253.78486,-4779.52041
1,600.0,0.01,2.0,3.0,0.0,0.45917,0.50348,4696.25757,9714.35013,5363.93488,0.45917,4201.0,4215.0,0.0,5253.78486,0.0,1.0,145.77388,6.0,,,-4748.832,-5253.78486,-4779.52041
2,600.0,0.01,3.0,2.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4203.0,135.27388,5253.78486,0.0,1.0,145.77388,6.0,,,-4748.832,-5253.78486,-4779.52041
3,600.0,0.01,4.0,2.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4203.0,135.53124,5253.78486,0.0,1.0,145.77388,6.0,,,-4748.832,-5253.78486,-4779.52041
4,600.0,0.01,5.0,3.0,0.0,0.45892,0.50348,4696.25757,9709.78667,5528.64009,0.45892,4201.0,4209.0,50.0,5253.78486,0.0,3.0,150.0,6.0,,,-4748.832,-5253.78486,-4779.52041
5,600.0,0.01,6.0,3.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4209.0,0.0,5253.78486,0.0,1.0,145.77388,6.0,,,-4748.832,-5253.78486,-4779.52041
