,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,IR,AP
0,1500.0,0.01,1.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4319.0,902.06427,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
1,1500.0,0.01,2.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4231.0,0.0,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
2,1500.0,0.01,3.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4279.0,1147.91427,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
3,1500.0,0.01,4.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4274.0,1084.55758,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
4,1500.0,0.01,5.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4232.0,50.0,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
5,1500.0,0.01,6.0,3.0,0.0,0.49025,0.60795,3792.28235,9769.51874,4185.18634,0.49025,4204.0,4230.0,0.0,4980.02446,0.0,1.0,58.16427,15.0,,-4980.02446,-4452.61258
