Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
900.0,0.07,1.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2128.0,0.30406,252.16697
900.0,0.07,2.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2121.0,0.30406,252.16697
900.0,0.07,3.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2125.0,0.30406,252.16697
900.0,0.07,4.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2125.0,0.30406,252.16697
900.0,0.07,5.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2117.0,0.30406,252.16697
900.0,0.07,6.0,1.0,1.0,0.0,1.0,226.3226,252.16697,0.0,4250.0,2127.0,0.30406,252.16697
