"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
100.00000,0.01000,1.00000,2.00000,0.00000,0.09176,0.36213,5779.03270,6352.35430,0.09025,4214.00000,4237.00000,855.02729,5769.46987
100.00000,0.01000,2.00000,7.00000,0.00000,0.09241,0.36213,5779.03270,6356.90585,0.09090,4214.00000,2429.00000,668.30850,5769.46987
100.00000,0.01000,3.00000,2.00000,0.00000,0.07828,0.36213,5779.03270,6259.44659,0.07675,4214.00000,4236.00000,854.43729,5769.46987
100.00000,0.01000,4.00000,2.00000,0.00000,0.07828,0.36213,5779.03270,6259.44659,0.07675,4214.00000,4235.00000,854.48018,5769.46987
100.00000,0.01000,5.00000,7.00000,0.00000,0.07843,0.36213,5779.03270,6260.44659,0.07690,4214.00000,2403.00000,561.01413,5769.46987
100.00000,0.01000,6.00000,3.00000,0.00000,0.07843,0.36213,5779.03270,6260.44659,0.07690,4214.00000,4296.00000,222.73525,5769.46987
