,Solar: actuals,Solar: forecasts,Solar: quicklow_diverse1,Solar: quicklow_diverse2,Solar: quicklow_diverse3,Solar: quicklow_diverse4,Solar: quickhigh_diverse1,Solar: quickhigh_diverse2,Solar: quickhigh_diverse3,Solar: quickhigh_diverse4
Probability,1.0,1.0,0.08689164557609884,0.14439870915417438,0.1556020943558979,0.1131075509138289,0.11310755091382893,0.15560209435589786,0.1443987091541744,0.08689164557609881
2013-05-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 06:00:00,0.0,56.2635996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 07:00:00,0.1999998,74.37300468,0.0,0.0,0.0,0.0,85.61434230856028,85.61434230856028,85.61434230856028,85.61434230856028
2013-05-26 08:00:00,15.900000480000001,133.67800368000002,24.565047000771813,24.565047000771813,24.565047000771813,24.565047000771813,212.4242785371206,212.4242785371206,212.4242785371206,212.4242785371206
2013-05-26 09:00:00,69.10000031999999,269.02311852,133.48548330115773,133.48548330115773,133.48548330115773,133.48548330115773,415.2743306056809,415.2743306056809,415.2743306056809,415.2743306056809
2013-05-26 10:00:00,126.90000024000001,550.3081272,388.34581344154356,388.34581344154356,388.34581344154356,388.34581344154356,764.0642765142411,764.0642765142411,764.0642765142411,764.0642765142411
2013-05-26 11:00:00,188.40000035999998,1078.2769062,890.8975326600405,936.9961597953293,975.1451043369151,1018.7421612414963,1191.4723031181984,1237.5709302534874,1275.719874795073,1319.3169316996543
2013-05-26 12:00:00,206.5000002,1020.14802084,807.3515875185374,899.5488417891149,975.8467308722866,1063.040844681449,1032.7826653621557,1124.9799196327335,1201.277808715905,1288.4719225250676
2013-05-26 13:00:00,255.99999984000002,895.3366593599999,657.1231662570341,795.4190476629005,909.8658812876579,1040.6570520014018,807.410551486113,945.7064328919796,1060.153266516737,1190.9444372304808
2013-05-26 14:00:00,828.2999992800001,767.62530156,503.9947486755311,688.3892572166865,840.9850353830295,1015.3732630013546,579.1384412900707,763.5329498312259,916.1287279975691,1090.5169556158942
2013-05-26 15:00:00,595.2999998399999,595.14961272,306.102000054028,536.5951357304722,727.339858438401,945.3251429613074,306.102000054028,536.5951357304722,727.339858438401,945.3251429613074
2013-05-26 16:00:00,263.09999976000006,372.03188568,155.246176180521,328.1160279378541,471.1745699688008,634.6635333609806,155.246176180521,328.1160279378541,471.1745699688008,634.6635333609806
2013-05-26 17:00:00,34.99999932000001,170.83139268000002,26.307586347013995,141.55415418523606,236.92651553920052,345.9191578006537,26.307586347013995,141.55415418523606,236.92651553920052,345.9191578006537
2013-05-26 18:00:00,0.50000028,28.172470560000004,0.0,13.53385131261803,61.22003198960026,115.71635312032684,0.0,13.53385131261803,61.22003198960026,115.71635312032684
2013-05-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-26 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
