0.000
"","time"," number scenarios","profit_value"
"iter1",0.000,20.000,-233.012
"iter2",0.000,22.000,-232.470
"iter3",0.000,25.000,-232.354
"iter4",0.000,28.000,-232.301
"iter5",0.000,31.000,-232.336
"iter6",0.000,35.000,-274.316
"iter7",0.000,39.000,-274.194
"iter8",0.000,43.000,-276.404
"iter9",1.000,48.000,-276.352
"iter10",2.000,53.000,-276.431
"iter11",3.000,59.000,-274.515
"iter12",4.000,65.000,-274.323
"iter13",6.000,72.000,-274.134
"iter14",8.000,80.000,-273.917
"iter15",11.000,88.000,-273.903
"iter16",7.000,97.000,-275.555
"iter17",12.000,107.000,-275.479
"iter18",27.000,118.000,-275.176
"iter19",123.000,130.000,-273.029
"iter20",135.000,143.000,-272.725
"iter21",199.000,158.000,-272.252
"iter22",187.000,174.000,-271.680
"iter23",273.000,192.000,-271.365
"iter24",324.000,212.000,-271.130
"iter25",600.000,234.000,-269.768
"iter26",0.000,0.000,0.000
"iter27",0.000,0.000,0.000
"iter28",0.000,0.000,0.000
"iter29",0.000,0.000,0.000
"iter30",0.000,0.000,0.000
