0.000
"","time"," number scenarios","profit_value"
"iter1",1.000,20.000,-255.249
"iter2",0.000,22.000,-263.272
"iter3",0.000,25.000,-250.377
"iter4",0.000,28.000,-266.509
"iter5",0.000,31.000,-273.902
"iter6",0.000,35.000,-266.245
"iter7",0.000,39.000,-262.021
"iter8",0.000,43.000,-269.332
"iter9",0.000,48.000,-256.390
"iter10",1.000,53.000,-266.525
"iter11",0.000,59.000,-252.976
"iter12",0.000,65.000,-261.082
"iter13",0.000,72.000,-259.698
"iter14",1.000,80.000,-261.248
"iter15",0.000,88.000,-258.468
"iter16",0.000,97.000,-253.879
"iter17",12.000,107.000,-263.265
"iter18",18.000,118.000,-262.470
"iter19",17.000,130.000,-249.337
"iter20",38.000,143.000,-259.123
"iter21",35.000,158.000,-262.794
"iter22",25.000,174.000,-241.375
"iter23",24.000,192.000,-252.262
"iter24",52.000,212.000,-253.577
"iter25",123.000,234.000,-253.098
"iter26",159.000,258.000,-253.992
"iter27",159.000,284.000,-251.584
"iter28",659.000,313.000,-254.713
"iter29",1684.000,345.000,-253.076
"iter30",0.000,0.000,0.000
