Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
1500.0,0.01,1.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2401.0,861.3,235.02433,0.0,1.0,0.52559,15.0
1500.0,0.01,2.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2410.0,200.0,235.02433,0.0,1.0,0.52559,15.0
1500.0,0.01,3.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2402.0,1113.75,235.02433,0.0,1.0,0.52559,15.0
1500.0,0.01,4.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2405.0,1050.05357,235.02433,0.0,1.0,0.52559,15.0
1500.0,0.01,5.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2401.0,150.0,235.02433,0.0,1.0,0.52559,15.0
1500.0,0.01,6.0,2.0,0.0,0.11797,0.10951,236.35611,266.45694,242.75714,0.11297,4212.0,2416.0,0.35086,235.02433,0.0,1.0,0.52559,15.0
