667      0.027
534 9      0.319       0.008 Equation   Const_4_1 (2200)
529 7      0.186       0.007 Equation   Const_3_2 (2300)
526 1      0.228       0.007 Equation   Const_3_1 (2300)
510 6      0.175       0.006 Equation   Const1_1 (2400)
501 10      0.061       0.004 Equation   Objective (1)
537 3      0.267       0.008 Equation   Const_4_2 (2200)
596 2      0.557       0.010 GAMS Fini   
540 4      0.165       0.009 Equation   Const_5 (2300)
596 8      1.417       0.010 Solve Fini schedule (73525)
544 5      0.231       0.009 Equation   Const_6 (2300)
