,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time,IR,AP
0,1500.0,0.03,1.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2438.0,843.9,238.2664,,-239.48915,0.0
1,1500.0,0.03,2.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2440.0,0.13746,238.2664,,-239.48915,0.0
2,1500.0,0.03,3.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2443.0,1091.25,238.2664,,-239.48915,0.0
3,1500.0,0.03,4.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2442.0,1028.84037,238.2664,,-239.48915,0.0
4,1500.0,0.03,5.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2443.0,0.10309,238.2664,,-239.48915,0.0
5,1500.0,0.03,6.0,2.0,0.0,0.02724,0.15786,234.8663,244.93786,0.02724,4210.0,2440.0,0.38745,238.2664,52.0,-239.48915,0.0
