523      0.014
466 9      0.362       0.007 Equation   Const_3_1 (2300)
450 6      0.296       0.006 Equation   Const1_1 (2400)
441 4      0.236       0.004 Equation   Objective (1)
474 1      0.383       0.008 Equation   Const_4_1 (2200)
469 7      0.310       0.007 Equation   Const_3_2 (2300)
536 5      0.723       0.010 GAMS Fini   
477 2      0.333       0.008 Equation   Const_4_2 (2200)
480 3      0.205       0.009 Equation   Const_5 (2300)
536 8      1.540       0.010 Solve Fini schedule (73525)
484 10      0.172       0.009 Equation   Const_6 (2300)
