5536      0.038
3256 2      0.105       0.048 GAMS Fini   
3128 9      0.683       0.005 Loop       
3129 5      0.049       0.005 Loop       
3129 1      0.038       0.005 Loop       
3202 6      0.110       0.018 Equation   Objective (1)
3129 3      0.056       0.005 Loop       
3129 10      0.041       0.005 Loop       
3129 8      0.044       0.005 Loop       
3256 7      0.288       0.048 Solve Fini schedule (319525)
3129 4      0.045       0.005 Loop       
