Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,,-254.04725
,,,,,,,,,,,,,-253.92154
,,,,,,,,,,,,,-253.29582
,,,,,,,,,,,,,-253.81571
,,,,,,,,,,,,,-253.86418
,,,,,,,,,,,,,-254.06651
,,,,,,,,,,,,,-253.90966
,,,,,,,,,,,,,-254.01794
,,,,,,,,,,,,,-253.50453
,,,,,,,,,,,,,-253.62094
,,,,,,,,,,,,,-253.66038
,,,,,,,,,,,,,-253.49819
,,,,,,,,,,,,,-254.01816
,,,,,,,,,,,,,-253.76855
,,,,,,,,,,,,,-253.86241
,,,,,,,,,,,,,-253.6209
,,,,,,,,,,,,,-253.79874
,,,,,,,,,,,,,-253.7179
,,,,,,,,,,,,,-253.69202
,,,,,,,,,,,,,-253.91609
,,,,,,,,,,,,,-254.31436
,,,,,,,,,,,,,-258.15563
,,,,,,,,,,,,,-253.58076
,,,,,,,,,,,,,-254.07909
,,,,,,,,,,,,,-258.01652
,,,,,,,,,,,,,-254.34
,,,,,,,,,,,,,-254.1946
,,,,,,,,,,,,,-254.25584
,,,,,,,,,,,,,-253.78602
,,,,,,,,,,,,,-253.87677
,,,,,,,,,,,,,-253.91379
,,,,,,,,,,,,,-253.79533
,,,,,,,,,,,,,-254.29371
,,,,,,,,,,,,,-254.05227
,,,,,,,,,,,,,-254.09742
,,,,,,,,,,,,,-253.90145
,,,,,,,,,,,,,-254.07928
,,,,,,,,,,,,,-253.94229
,,,,,,,,,,,,,-253.92773
,,,,,,,,,,,,,-254.13963
,,,,,,,,,,,,1484.0,-261.41632
,,,,,,,,,,,,1811.0,-265.15664
,,,,,,,,,,,,1413.0,-264.39347
,,,,,,,,,,,,1615.0,-261.08256
,,,,,,,,,,,,1605.0,-264.91383
,,,,,,,,,,,,1513.0,-261.30773
,,,,,,,,,,,,1557.0,-265.01471
,,,,,,,,,,,,1956.0,-264.89982
,,,,,,,,,,,,1652.0,-264.43952
,,,,,,,,,,,,1843.0,-260.82924
,,,,,,,,,,,,1950.0,-260.90918
,,,,,,,,,,,,1502.0,-260.93583
,,,,,,,,,,,,1521.0,-261.37465
,,,,,,,,,,,,1695.0,-261.12306
,,,,,,,,,,,,1532.0,-261.08779
,,,,,,,,,,,,1490.0,-264.5932
,,,,,,,,,,,,1554.0,-261.1283
,,,,,,,,,,,,1933.0,-264.60242
,,,,,,,,,,,,1896.0,-260.995
,,,,,,,,,,,,1932.0,-261.06342
,,,,,,,,,,,,,-261.63608
,,,,,,,,,,,,,-265.43368
,,,,,,,,,,,,,-264.72706
,,,,,,,,,,,,,-261.31482
,,,,,,,,,,,,,-265.19582
,,,,,,,,,,,,,-265.28224
,,,,,,,,,,,,,-265.32159
,,,,,,,,,,,,,-265.19031
,,,,,,,,,,,,,-264.7527
,,,,,,,,,,,,,-261.05451
,,,,,,,,,,,,,-261.12241
,,,,,,,,,,,,,-261.17037
,,,,,,,,,,,,,-265.1203
,,,,,,,,,,,,,-265.09628
,,,,,,,,,,,,,-265.08458
,,,,,,,,,,,,,-264.93656
,,,,,,,,,,,,,-265.02134
,,,,,,,,,,,,,-264.88756
,,,,,,,,,,,,,-265.01005
,,,,,,,,,,,,,-264.84014
