Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR
100.0,0.01,1.0,10.0,0.0,0.01167,,0.0,272.43142,272.43142,0.01167,0.0,55.0,4.82531,269.25283,0.0,2.0,4.82531,-2.0,
100.0,0.01,2.0,10.0,0.0,0.01317,,0.0,272.84552,272.84552,0.01317,0.0,8.0,200.0,269.25283,0.0,1.0,5.40531,1.0,
100.0,0.01,3.0,10.0,0.0,0.01153,,0.0,272.39433,272.39433,0.01153,0.0,54.0,4.94957,269.25283,0.0,8.0,4.95412,1.0,
100.0,0.01,4.0,10.0,0.0,0.01149,,0.0,272.38126,272.38126,0.01149,0.0,52.0,4.90793,269.25283,0.0,8.0,4.85038,-2.0,
100.0,0.01,5.0,10.0,0.0,0.01317,,0.0,272.84552,272.84552,0.01317,0.0,27.0,34.16667,269.25283,0.0,1.0,5.40531,1.0,
100.0,0.01,6.0,10.0,0.0,0.01185,,0.0,272.48112,272.48112,0.01185,0.0,78.0,4.77903,269.25283,0.0,9.0,5.04091,1.0,
100.0,0.01,1.0,4.0,0.0,0.0004,0.0,278.53877,,,0.0004,53.0,423.0,3.15282,278.53877,,,,,278.6509
100.0,0.01,2.0,10.0,0.0,0.0015,0.0,278.53877,,,0.0015,53.0,640.0,0.0,278.53877,,,,,278.95848
100.0,0.01,3.0,3.0,0.0,0.00037,0.0,278.53877,,,0.00037,53.0,330.0,3.12282,278.53877,,,,,278.6409
100.0,0.01,4.0,3.0,0.0,0.00052,0.0,278.53877,,,0.00052,53.0,352.0,3.18836,278.53877,,,,,278.68379
100.0,0.01,5.0,5.0,1.0,0.0,0.0,278.53877,,,0.0,53.0,397.0,3.28283,278.53877,,,,,278.53877
100.0,0.01,6.0,3.0,0.0,0.00023,0.0,278.53877,,,0.00023,53.0,316.0,3.55649,278.53877,,,,,278.60297
