"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
600.00000,0.01000,1.00000,2.00000,0.00000,0.14519,0.56243,4317.81414,4949.56385,0.12764,4279.00000,4312.00000,139.23099,4230.94979
600.00000,0.01000,2.00000,2.00000,0.00000,0.15478,0.56243,4317.81414,5005.75640,0.13743,4279.00000,2566.00000,105.36769,4230.94979
600.00000,0.01000,3.00000,2.00000,0.00000,0.15432,0.56243,4317.81414,5002.99398,0.13695,4279.00000,4382.00000,134.53099,4230.94979
600.00000,0.01000,4.00000,2.00000,0.00000,0.15375,0.56243,4317.81414,4999.66065,0.13638,4279.00000,4367.00000,134.78835,4230.94979
600.00000,0.01000,5.00000,2.00000,0.00000,0.15952,0.56243,4317.81414,5033.99398,0.14227,4279.00000,2646.00000,95.28351,4230.94979
600.00000,0.01000,6.00000,2.00000,0.00000,0.16869,0.56243,4317.81414,5089.48268,0.15162,4279.00000,2548.00000,274.03212,4230.94979
