Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
900.0,0.05,1.0,5.0,0.0,0.56952,0.67109,4230.12889,12950.84848,10334.91288,0.56952,4202.0,55012.0,479.80968,5575.05352,0.0,1.0,88.30968,-855.0
900.0,0.05,2.0,5.0,0.0,0.56324,0.67109,4230.12889,12764.6,10334.91288,0.56324,4202.0,55011.0,288.30968,5575.05352,0.0,5.0,88.30968,-855.0
900.0,0.05,3.0,5.0,0.0,0.56952,0.67109,4230.12889,12950.84848,10334.91288,0.56952,4202.0,55010.0,840.77397,5575.05352,0.0,1.0,88.30968,-855.0
900.0,0.05,4.0,5.0,0.0,0.56952,0.67109,4230.12889,12950.84848,10334.91288,0.56952,4202.0,55012.0,842.8845,5575.05352,0.0,1.0,88.30968,-855.0
900.0,0.05,5.0,6.0,0.0,0.56952,0.67109,4230.12889,12950.84848,10334.91288,0.56952,4202.0,55032.0,73.30968,5575.05352,0.0,1.0,88.30968,-855.0
900.0,0.05,6.0,8.0,0.0,0.56401,0.67109,4230.12889,12787.02062,8780.6516,0.56401,4202.0,55039.0,15.55769,5575.05352,0.0,6.0,95.69066,45.0
900.0,0.05,1.0,5.0,0.0,0.56008,0.65851,4342.63716,12797.80971,10792.94331,0.56008,4202.0,55011.0,479.31387,5629.99991,0.0,1.0,87.81387,-855.0
900.0,0.05,2.0,5.0,0.0,0.55384,0.65851,4342.63716,12618.80527,10792.94331,0.55384,4202.0,55007.0,287.81387,5629.99991,0.0,3.0,87.81387,-855.0
900.0,0.05,3.0,5.0,0.0,0.56008,0.65851,4342.63716,12797.80971,10792.94331,0.56008,4202.0,55012.0,840.27816,5629.99991,0.0,1.0,87.81387,-855.0
900.0,0.05,4.0,5.0,0.0,0.56008,0.65851,4342.63716,12797.80971,10792.94331,0.56008,4202.0,55012.0,842.38869,5629.99991,0.0,1.0,87.81387,-855.0
900.0,0.05,5.0,6.0,0.0,0.56008,0.65851,4342.63716,12797.80971,10792.94331,0.56008,4202.0,55031.0,72.81387,5629.99991,0.0,1.0,87.81387,-855.0
900.0,0.05,6.0,10.0,0.0,0.56008,0.65851,4342.63716,12797.80971,10792.94331,0.56008,4202.0,25203.0,85.36628,5629.99991,0.0,1.0,87.81387,-855.0
900.0,0.05,1.0,5.0,0.0,0.5655,0.6495,4500.61253,12922.46715,10631.08493,0.5655,4202.0,55011.0,479.50847,5614.7898,0.0,1.0,88.00847,-855.0
900.0,0.05,2.0,5.0,0.0,0.55969,0.6495,4500.61253,12751.76365,10631.08493,0.55969,4202.0,55008.0,288.00847,5614.7898,0.0,3.0,88.00847,-855.0
900.0,0.05,3.0,5.0,0.0,0.5655,0.6495,4500.61253,12922.46715,10631.08493,0.5655,4202.0,55008.0,840.47275,5614.7898,0.0,1.0,88.00847,-855.0
900.0,0.05,4.0,5.0,0.0,0.5655,0.6495,4500.61253,12922.46715,10631.08493,0.5655,4202.0,55013.0,842.58329,5614.7898,0.0,1.0,88.00847,-855.0
900.0,0.05,5.0,6.0,0.0,0.5655,0.6495,4500.61253,12922.46715,10631.08493,0.5655,4202.0,55033.0,73.00847,5614.7898,0.0,1.0,88.00847,-855.0
900.0,0.05,6.0,10.0,0.0,0.5655,0.6495,4500.61253,12922.46715,10631.08493,0.5655,4202.0,25211.0,85.38687,5614.7898,0.0,1.0,88.00847,-855.0
900.0,0.05,1.0,5.0,0.0,0.56487,0.66089,4379.42252,13001.75344,10640.0343,0.56487,4202.0,55014.0,479.62834,5657.48586,0.0,1.0,88.12834,-855.0
900.0,0.05,2.0,5.0,0.0,0.55853,0.66089,4379.42252,12815.17394,10640.0343,0.55853,4202.0,55011.0,288.12834,5657.48586,0.0,3.0,88.12834,-855.0
900.0,0.05,3.0,5.0,0.0,0.56487,0.66089,4379.42252,13001.75344,10640.0343,0.56487,4202.0,55013.0,840.59262,5657.48586,0.0,1.0,88.12834,-855.0
900.0,0.05,4.0,5.0,0.0,0.56487,0.66089,4379.42252,13001.75344,10640.0343,0.56487,4202.0,55011.0,842.70316,5657.48586,0.0,1.0,88.12834,-855.0
900.0,0.05,5.0,6.0,0.0,0.56487,0.66089,4379.42252,13001.75344,10640.0343,0.56487,4202.0,55034.0,73.12834,5657.48586,0.0,1.0,88.12834,-855.0
900.0,0.05,6.0,10.0,0.0,0.56487,0.66089,4379.42252,13001.75344,10640.0343,0.56487,4202.0,25212.0,85.45862,5657.48586,0.0,1.0,88.12834,-855.0
900.0,0.05,1.0,5.0,0.0,0.56817,0.65007,4542.74735,13058.73899,10705.49064,0.56817,4202.0,55011.0,479.48263,5639.15508,0.0,1.0,87.98263,-855.0
900.0,0.05,2.0,5.0,0.0,0.56265,0.65007,4542.74735,12893.83418,10705.49064,0.56265,4202.0,55009.0,287.98263,5639.15508,0.0,3.0,87.98263,-855.0
900.0,0.05,3.0,5.0,0.0,0.56817,0.65007,4542.74735,13058.73899,10705.49064,0.56817,4202.0,55010.0,840.44691,5639.15508,0.0,1.0,87.98263,-855.0
900.0,0.05,4.0,5.0,0.0,0.56817,0.65007,4542.74735,13058.73899,10705.49064,0.56817,4202.0,55011.0,842.55745,5639.15508,0.0,1.0,87.98263,-855.0
900.0,0.05,5.0,6.0,0.0,0.56817,0.65007,4542.74735,13058.73899,10705.49064,0.56817,4202.0,55032.0,72.98263,5639.15508,0.0,1.0,87.98263,-855.0
900.0,0.05,6.0,10.0,0.0,0.56817,0.65007,4542.74735,13058.73899,10705.49064,0.56817,4202.0,25207.0,85.41604,5639.15508,0.0,1.0,87.98263,-855.0
900.0,0.05,1.0,5.0,0.0,0.57691,0.64596,4540.11717,12904.03291,10331.23636,0.57691,4202.0,55010.0,479.99648,5459.52697,0.0,1.0,88.49648,-855.0
900.0,0.05,2.0,5.0,0.0,0.57096,0.64596,4540.11717,12724.94108,10331.23636,0.57096,4202.0,55007.0,288.49648,5459.52697,0.0,3.0,88.49648,-855.0
900.0,0.05,3.0,5.0,0.0,0.57712,0.64596,4540.11717,12910.44522,10331.23636,0.57712,4202.0,55009.0,840.96077,5459.52697,0.0,1.0,88.49648,-855.0
900.0,0.05,4.0,5.0,0.0,0.57712,0.64596,4540.11717,12910.44522,10331.23636,0.57712,4202.0,55008.0,843.0713,5459.52697,0.0,1.0,88.49648,-855.0
900.0,0.05,5.0,6.0,0.0,0.57712,0.64596,4540.11717,12910.44522,10331.23636,0.57712,4202.0,55034.0,73.49648,5459.52697,0.0,1.0,88.49648,-855.0
900.0,0.05,6.0,10.0,0.0,0.57712,0.64596,4540.11717,12910.44522,10331.23636,0.57712,4202.0,25206.0,85.67144,5459.52697,0.0,1.0,88.49648,-855.0
900.0,0.05,1.0,5.0,0.0,0.57669,0.67486,4115.14071,12751.11273,10443.26091,0.57669,4202.0,55011.0,479.60884,5397.71552,0.0,1.0,88.10884,-855.0
900.0,0.05,2.0,5.0,0.0,0.57053,0.67486,4115.14071,12568.19364,10443.26091,0.57053,4202.0,55011.0,288.10884,5397.71552,0.0,3.0,88.10884,-855.0
900.0,0.05,3.0,5.0,0.0,0.57669,0.67486,4115.14071,12751.11273,10443.26091,0.57669,4202.0,55008.0,840.57312,5397.71552,0.0,1.0,88.10884,-855.0
900.0,0.05,4.0,5.0,0.0,0.57669,0.67486,4115.14071,12751.11273,10443.26091,0.57669,4202.0,55010.0,842.68366,5397.71552,0.0,1.0,88.10884,-855.0
900.0,0.05,5.0,6.0,0.0,0.57669,0.67486,4115.14071,12751.11273,10443.26091,0.57669,4202.0,55034.0,73.10884,5397.71552,0.0,1.0,88.10884,-855.0
900.0,0.05,6.0,10.0,0.0,0.57669,0.67486,4115.14071,12751.11273,10443.26091,0.57669,4202.0,25199.0,85.50696,5397.71552,0.0,1.0,88.10884,-855.0
900.0,0.05,1.0,5.0,0.0,0.56361,0.66571,4315.34442,12977.98104,10636.83456,0.56361,4202.0,55010.0,479.62268,5663.52047,0.0,1.0,88.12268,-855.0
900.0,0.05,2.0,5.0,0.0,0.55789,0.66571,4315.34442,12810.2701,10636.83456,0.55789,4202.0,55013.0,288.12268,5663.52047,0.0,3.0,88.12268,-855.0
900.0,0.05,3.0,5.0,0.0,0.56361,0.66571,4315.34442,12977.98104,10636.83456,0.56361,4202.0,55009.0,840.58697,5663.52047,0.0,1.0,88.12268,-855.0
900.0,0.05,4.0,5.0,0.0,0.56361,0.66571,4315.34442,12977.98104,10636.83456,0.56361,4202.0,55011.0,842.6975,5663.52047,0.0,1.0,88.12268,-855.0
900.0,0.05,5.0,6.0,0.0,0.56361,0.66571,4315.34442,12977.98104,10636.83456,0.56361,4202.0,55040.0,73.12268,5663.52047,0.0,1.0,88.12268,-855.0
900.0,0.05,6.0,10.0,0.0,0.56361,0.66571,4315.34442,12977.98104,10636.83456,0.56361,4202.0,25195.0,85.44393,5663.52047,0.0,1.0,88.12268,-855.0
