Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,373.0,-5575.05352
,,,,,,,,,,,,417.0,-5160.46518
,,,,,,,,,,,,375.0,-5629.99991
,,,,,,,,,,,,406.0,-5291.66479
,,,,,,,,,,,,384.0,-5614.7898
,,,,,,,,,,,,422.0,-5279.93612
,,,,,,,,,,,,381.0,-5657.48586
,,,,,,,,,,,,412.0,-5210.17495
,,,,,,,,,,,,383.0,-5639.15508
,,,,,,,,,,,,417.0,-5385.69156
,,,,,,,,,,,,381.0,-5459.52697
,,,,,,,,,,,,422.0,-5083.5039
,,,,,,,,,,,,379.0,-5397.71552
,,,,,,,,,,,,411.0,-5095.18012
,,,,,,,,,,,,383.0,-5663.52047
,,,,,,,,,,,,416.0,-5313.29506
,,,,,,,,,,,,383.0,-5473.68947
,,,,,,,,,,,,421.0,-5054.84406
,,,,,,,,,,,,381.0,-5543.69213
,,,,,,,,,,,,420.0,-5049.49234
,,,,,,,,,,,,379.0,-5597.17258
,,,,,,,,,,,,416.0,-5011.41418
,,,,,,,,,,,,383.0,-5618.44558
,,,,,,,,,,,,421.0,-5186.0869
,,,,,,,,,,,,379.0,-5645.91308
,,,,,,,,,,,,416.0,-5168.59718
,,,,,,,,,,,,383.0,-5643.89069
,,,,,,,,,,,,420.0,-5220.56623
,,,,,,,,,,,,383.0,-5684.75441
,,,,,,,,,,,,416.0,-5241.55334
,,,,,,,,,,,,377.0,-5655.77752
,,,,,,,,,,,,423.0,-5298.13062
,,,,,,,,,,,,379.0,-5450.20336
,,,,,,,,,,,,421.0,-5076.61529
,,,,,,,,,,,,379.0,-5535.48797
,,,,,,,,,,,,422.0,-5191.35495
,,,,,,,,,,,,384.0,-5587.45447
,,,,,,,,,,,,420.0,-5203.76501
,,,,,,,,,,,,384.0,-5608.0648
,,,,,,,,,,,,422.0,-5309.66834
