Unnamed: 0,QP
0,4673.595
1,4673.595
2,4673.595
3,4673.595
4,4673.595
5,4673.595
0,4070.289
1,4070.289
2,4070.289
3,4070.289
4,4070.289
5,4070.289
0,4484.41
1,4484.41
2,4484.41
3,4484.41
4,4484.41
5,4484.41
0,4721.689
1,4721.689
2,4721.689
3,4721.689
4,4721.689
5,4721.689
0,4204.412
1,4204.412
2,4204.412
3,4204.412
4,4204.412
5,4204.412
0,4171.159
1,4171.159
2,4171.159
3,4171.159
4,4171.159
5,4171.159
0,4388.203
1,4388.203
2,4388.203
3,4388.203
4,4388.203
5,4388.203
0,4481.519
1,4481.519
2,4481.519
3,4481.519
4,4481.519
5,4481.519
0,4467.776
1,4467.776
2,4467.776
3,4467.776
4,4467.776
5,4467.776
0,4752.809
1,4752.809
2,4752.809
3,4752.809
4,4752.809
5,4752.809
0,4189.055
1,4189.055
2,4189.055
3,4189.055
4,4189.055
5,4189.055
0,4797.155
1,4797.155
2,4797.155
3,4797.155
4,4797.155
5,4797.155
0,4721.129
1,4721.129
2,4721.129
3,4721.129
4,4721.129
5,4721.129
0,4255.734
1,4255.734
2,4255.734
3,4255.734
4,4255.734
5,4255.734
0,4390.871
1,4390.871
2,4390.871
3,4390.871
4,4390.871
5,4390.871
0,4118.704
1,4118.704
2,4118.704
3,4118.704
4,4118.704
5,4118.704
0,4426.72
1,4426.72
2,4426.72
3,4426.72
4,4426.72
5,4426.72
0,4449.574
1,4449.574
2,4449.574
3,4449.574
4,4449.574
5,4449.574
0,4790.879
1,4790.879
2,4790.879
3,4790.879
4,4790.879
5,4790.879
0,4526.613
1,4526.613
2,4526.613
3,4526.613
4,4526.613
5,4526.613
