379      0.028
545 9      0.230       0.009 Equation   Const_6 (2300)
541 10      0.193       0.009 Equation   Const_5 (2300)
538 4      0.352       0.008 Equation   Const_4_2 (2200)
535 3      0.363       0.008 Equation   Const_4_1 (2200)
530 6      0.266       0.007 Equation   Const_3_2 (2300)
527 7      0.302       0.007 Equation   Const_3_1 (2300)
511 5      0.299       0.006 Equation   Const1_1 (2400)
502 1      0.040       0.004 Equation   Objective (1)
597 2      1.539       0.010 Solve Fini schedule (73525)
597 8      0.644       0.010 GAMS Fini   
