379      0.052
541 8      0.206       0.009 Equation   Const_5 (2300)
538 10      0.344       0.008 Equation   Const_4_2 (2200)
535 2      0.332       0.008 Equation   Const_4_1 (2200)
530 3      0.291       0.007 Equation   Const_3_2 (2300)
527 5      0.328       0.007 Equation   Const_3_1 (2300)
545 4      0.196       0.009 Equation   Const_6 (2300)
511 7      0.264       0.006 Equation   Const1_1 (2400)
597 1      1.504       0.010 Solve Fini schedule (73525)
502 6      0.108       0.004 Equation   Objective (1)
597 9      0.621       0.010 GAMS Fini   
