1437      0.030
1474 2      0.156       0.027 Equation   Const_4_1 (13200)
1516 3      1.007       0.039 Solve Fini schedule (441025)
1516 10      0.271       0.039 GAMS Fini   
1466 9      0.077       0.020 Equation   Const_3_1 (13800)
1477 1      0.093       0.030 Equation   Const_4_2 (13200)
1450 5      0.038       0.017 Equation   Const1_1 (14400)
1484 8      0.039       0.038 Equation   Const_6 (13800)
1469 4      0.078       0.024 Equation   Const_3_2 (13800)
1441 7      0.196       0.009 Equation   Objective (1)
1358 6      0.215       0.004 Loop       
