"iter1",0.000,8.000
"iter2",0.000,19.000
"iter3",-254.795,31.000
"iter4",-254.795,33.000
"iter5",-253.884,36.000
"iter6",-253.884,36.000
"iter7",-253.884,37.000
"iter8",-253.884,37.000
"iter9",-253.884,37.000
"iter10",-253.884,38.000
"iter11",-253.884,38.000
"iter12",-253.884,37.000
"iter13",-253.884,37.000
"iter14",-253.884,38.000
"iter15",-253.884,38.000
"iter16",-253.884,37.000
"iter17",-253.884,38.000
"iter18",-253.884,38.000
"iter19",-253.884,38.000
"iter20",-253.884,39.000
"iter21",-253.884,38.000
"iter22",-253.884,38.000
"iter23",-253.884,37.000
"iter24",-253.884,38.000
"iter25",-253.884,37.000
"iter26",-253.884,37.000
"iter27",-253.884,35.000
"iter28",-253.884,28.000
"iter29",-253.884,26.000
"iter30",-253.884,17.000
