"iter1",0.000,1.000
"iter2",-269.964,2.000
"iter3",-260.147,2.000
"iter4",-269.369,2.000
"iter5",-269.369,2.000
"iter6",-277.687,2.000
"iter7",-271.696,2.000
"iter8",-278.599,2.000
"iter9",-265.851,2.000
"iter10",-275.686,2.000
"iter11",-269.512,2.000
"iter12",-269.512,2.000
"iter13",-270.175,2.000
"iter14",-271.402,2.000
"iter15",-277.552,2.000
"iter16",-266.909,2.000
"iter17",-274.317,2.000
"iter18",-271.136,3.000
"iter19",-269.064,2.000
"iter20",0.000,1.000
"iter21",0.000,1.000
"iter22",0.000,1.000
"iter23",0.000,2.000
"iter24",0.000,2.000
"iter25",0.000,2.000
"iter26",0.000,1.000
"iter27",0.000,1.000
"iter28",0.000,2.000
"iter29",0.000,1.000
"iter30",0.000,1.000
