667      0.051
527 7      0.246       0.007 Equation   Const_3_1 (2300)
511 6      0.292       0.006 Equation   Const1_1 (2400)
502 5      0.187       0.004 Equation   Objective (1)
530 2      0.250       0.007 Equation   Const_3_2 (2300)
535 9      0.296       0.008 Equation   Const_4_1 (2200)
597 4      0.657       0.010 GAMS Fini   
597 1      1.605       0.010 Solve Fini schedule (73525)
545 10      0.162       0.009 Equation   Const_6 (2300)
538 3      0.273       0.008 Equation   Const_4_2 (2200)
541 8      0.207       0.009 Equation   Const_5 (2300)
