Unnamed: 0,QP
0,3189.483
1,3189.483
2,3189.483
3,3189.483
4,3189.483
5,3189.483
0,3156.954
1,3156.954
2,3156.954
3,3156.954
4,3156.954
5,3156.954
0,3564.648
1,3564.648
2,3564.648
3,3564.648
4,3564.648
5,3564.648
0,2722.108
1,2722.108
2,2722.108
3,2722.108
4,2722.108
5,2722.108
0,4040.843
1,4040.843
2,4040.843
3,4040.843
4,4040.843
5,4040.843
0,3293.147
1,3293.147
2,3293.147
3,3293.147
4,3293.147
5,3293.147
0,3446.137
1,3446.137
2,3446.137
3,3446.137
4,3446.137
5,3446.137
0,3540.122
1,3540.122
2,3540.122
3,3540.122
4,3540.122
5,3540.122
0,3120.068
1,3120.068
2,3120.068
3,3120.068
4,3120.068
5,3120.068
0,3049.472
1,3049.472
2,3049.472
3,3049.472
4,3049.472
5,3049.472
0,3733.912
1,3733.912
2,3733.912
3,3733.912
4,3733.912
5,3733.912
0,3117.004
1,3117.004
2,3117.004
3,3117.004
4,3117.004
5,3117.004
0,3332.278
1,3332.278
2,3332.278
3,3332.278
4,3332.278
5,3332.278
0,3348.045
1,3348.045
2,3348.045
3,3348.045
4,3348.045
5,3348.045
0,3257.724
1,3257.724
2,3257.724
3,3257.724
4,3257.724
5,3257.724
0,3386.996
1,3386.996
2,3386.996
3,3386.996
4,3386.996
5,3386.996
0,3701.654
1,3701.654
2,3701.654
3,3701.654
4,3701.654
5,3701.654
0,3417.03
1,3417.03
2,3417.03
3,3417.03
4,3417.03
5,3417.03
0,2756.484
1,2756.484
2,2756.484
3,2756.484
4,2756.484
5,2756.484
0,3447.023
1,3447.023
2,3447.023
3,3447.023
4,3447.023
5,3447.023
