Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
,,,,,,,,,,,,638.0,-5673.8305
,,,,,,,,,,,,650.0,-5714.10593
,,,,,,,,,,,,648.0,-5716.52377
,,,,,,,,,,,,650.0,-5683.04407
,,,,,,,,,,,,639.0,-5683.23433
,,,,,,,,,,,,648.0,-5648.34517
,,,,,,,,,,,,642.0,-5596.7509
,,,,,,,,,,,,650.0,-5626.56897
,,,,,,,,,,,,646.0,-5641.21043
,,,,,,,,,,,,648.0,-5585.0197
,,,,,,,,,,,,651.0,-5631.7697
,,,,,,,,,,,,647.0,-5537.1232
,,,,,,,,,,,,645.0,-5474.26373
,,,,,,,,,,,,644.0,-5546.7853
,,,,,,,,,,,,642.0,-5541.17637
,,,,,,,,,,,,635.0,-5634.56643
,,,,,,,,,,,,648.0,-5560.5442
,,,,,,,,,,,,640.0,-5543.2615
,,,,,,,,,,,,650.0,-5566.9182
,,,,,,,,,,,,648.0,-5537.57207
