379      0.003
545 7      0.183       0.009 Equation   Const_6 (2300)
541 8      0.195       0.009 Equation   Const_5 (2300)
538 5      0.313       0.008 Equation   Const_4_2 (2200)
535 9      0.268       0.008 Equation   Const_4_1 (2200)
530 3      0.366       0.007 Equation   Const_3_2 (2300)
527 4      0.216       0.007 Equation   Const_3_1 (2300)
597 6      1.613       0.010 Solve Fini schedule (73525)
597 2      0.664       0.010 GAMS Fini   
511 1      0.323       0.006 Equation   Const1_1 (2400)
502 10      0.111       0.004 Equation   Objective (1)
