2303      0.012
957 1      0.281       0.040 Solve Fini schedule (441025)
957 2      0.087       0.040 GAMS Fini   
905 9      0.048       0.029 Equation   Const_4_1 (13200)
909 4      0.060       0.032 Equation   Const_4_2 (13200)
869 5      0.056       0.011 Equation   Objective (1)
918 3      0.023       0.040 Equation   Const_6 (13800)
899 6      0.022       0.026 Equation   Const_3_2 (13800)
896 7      0.020       0.022 Equation   Const_3_1 (13800)
774 8      0.073       0.005 Loop       
913 10      0.019       0.036 Equation   Const_5 (13800)
