2301      0.018
905 8      0.051       0.029 Equation   Const_4_1 (13200)
899 4      0.043       0.026 Equation   Const_3_2 (13800)
918 9      0.022       0.040 Equation   Const_6 (13800)
774 7      0.142       0.005 Loop       
878 1      0.025       0.018 Equation   Const1_1 (14400)
896 10      0.035       0.022 Equation   Const_3_1 (13800)
959 2      0.059       0.040 GAMS Fini   
959 6      0.243       0.040 Solve Fini schedule (441025)
869 5      0.113       0.011 Equation   Objective (1)
909 3      0.048       0.032 Equation   Const_4_2 (13200)
