 ,value
scen1,0.108
scen2,0.063
scen3,0.1376
scen4,0.0902
scen5,0.0812
scen6,0.076
scen7,0.0816
scen8,0.0916
scen9,0.0586
scen10,0.0696
scen11,0.084
scen12,0.0624
scen13,0.0808
scen14,0.0768
scen15,0.055
scen16,0.0496
scen17,0.065
scen18,0.0344
scen19,0.031
scen20,0.0434
scen21,0.076
scen22,0.063
scen23,0.0808
scen24,0.0902
scen25,0.0812
scen26,0.0902
scen27,0.0816
scen28,0.0916
scen29,0.0586
scen30,0.0696
scen31,0.084
scen32,0.0624
scen33,0.0516
scen34,0.0768
scen35,0.055
scen36,0.0496
scen37,0.065
scen38,0.0344
scen39,0.031
scen40,0.0434
scen41,0.0564
scen42,0.0474
scen43,0.0812
scen44,0.0902
scen45,0.0902
scen46,0.0916
scen47,0.084
scen48,0.0516
scen49,0.0816
scen50,0.065
scen51,0.0586
scen52,0.0696
scen53,0.0474
scen54,0.0624
scen55,0.0344
scen56,0.0768
scen57,0.055
scen58,0.0496
scen59,0.0558
scen60,0.0344
scen61,0.031
scen62,0.0434
scen63,0.0564
scen64,0.0388
scen65,0.0372
scen66,0.0286
scen67,0.025
scen68,0.084
scen69,0.0696
scen70,0.0902
scen71,0.065
scen72,0.0638
scen73,0.0516
scen74,0.0816
scen75,0.0558
scen76,0.0586
scen77,0.0564
scen78,0.0474
scen79,0.0624
scen80,0.0428
scen81,0.0768
scen82,0.055
scen83,0.0496
scen84,0.0506
scen85,0.0344
scen86,0.031
scen87,0.0434
scen88,0.0474
scen89,0.0388
scen90,0.0372
scen91,0.0286
scen92,0.025
scen93,0.0306
scen94,0.0344
scen95,0.0278
scen96,0.0696
scen97,0.0638
scen98,0.0768
scen99,0.065
scen100,0.0474
scen101,0.0516
scen102,0.0436
scen103,0.0558
scen104,0.0586
scen105,0.0564
scen106,0.061
scen107,0.0624
scen108,0.0428
scen109,0.0278
scen110,0.055
scen111,0.0496
scen112,0.0506
scen113,0.0344
scen114,0.031
scen115,0.0434
scen116,0.0474
scen117,0.0388
scen118,0.0372
scen119,0.0286
scen120,0.025
scen121,0.0306
