"Omega","Tolerance","Step Size Rule","Iterations","Converged?","Gap LR","Gap Naive","Obj. Naive","Obj. LR","Gap","Time Naive","Time LR","Final Lambda","LB Heuristic"
100.00000,0.05000,1.00000,2.00000,0.00000,0.34036,0.49396,6227.42290,9817.69966,0.34036,4206.00000,4234.00000,847.41661,6476.17430
100.00000,0.05000,2.00000,2.00000,0.00000,0.43825,0.49396,6227.42290,11528.56253,0.43825,4206.00000,4224.00000,799.42714,6476.17430
100.00000,0.05000,3.00000,2.00000,0.00000,0.35374,0.49396,6227.42290,10020.99378,0.35374,4206.00000,4220.00000,886.46661,6476.17430
100.00000,0.05000,4.00000,2.00000,0.00000,0.35374,0.49396,6227.42290,10020.99378,0.35374,4206.00000,4232.00000,886.68108,6476.17430
100.00000,0.05000,5.00000,2.00000,0.00000,0.43432,0.49396,6227.42290,11448.56253,0.43432,4206.00000,4221.00000,799.95345,6476.17430
100.00000,0.05000,6.00000,2.00000,0.00000,0.35814,0.49396,6227.42290,10089.75486,0.35814,4206.00000,4214.00000,0.00000,6476.17430
