1437      0.022
1466 3      0.035       0.020 Equation   Const_3_1 (13800)
1474 4      0.182       0.027 Equation   Const_4_1 (13200)
1516 2      1.084       0.039 Solve Fini schedule (441025)
1516 10      0.222       0.039 GAMS Fini   
1358 8      0.069       0.004 Loop       
1484 5      0.037       0.038 Equation   Const_6 (13800)
1480 9      0.033       0.034 Equation   Const_5 (13800)
1441 6      0.091       0.009 Equation   Objective (1)
1469 1      0.052       0.024 Equation   Const_3_2 (13800)
1477 7      0.143       0.030 Equation   Const_4_2 (13200)
