667      0.012
469 10      0.319       0.007 Equation   Const_3_2 (2300)
466 6      0.307       0.007 Equation   Const_3_1 (2300)
450 7      0.296       0.006 Equation   Const1_1 (2400)
441 5      0.096       0.004 Equation   Objective (1)
474 1      0.351       0.008 Equation   Const_4_1 (2200)
536 2      0.707       0.010 GAMS Fini   
477 3      0.367       0.008 Equation   Const_4_2 (2200)
480 9      0.181       0.009 Equation   Const_5 (2300)
484 8      0.214       0.009 Equation   Const_6 (2300)
536 4      1.530       0.010 Solve Fini schedule (73525)
