Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,1.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,2641.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
600.0,0.01,2.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,2739.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
600.0,0.01,3.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,2630.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
600.0,0.01,4.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,2628.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
600.0,0.01,5.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,2790.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
600.0,0.01,6.0,1.0,1.0,0.03658,0.05509,247.50851,251.14026,251.14026,0.01446,4241.0,3663.0,1.26062,241.95267,1.0,1.0,1.26062,0.0
