2301      0.021
896 9      0.022       0.022 Equation   Const_3_1 (13800)
918 3      0.023       0.040 Equation   Const_6 (13800)
774 4      0.129       0.005 Loop       
905 5      0.084       0.029 Equation   Const_4_1 (13200)
959 10      0.070       0.040 GAMS Fini   
775 8      0.022       0.005 Loop       
913 7      0.031       0.036 Equation   Const_5 (13800)
909 2      0.048       0.032 Equation   Const_4_2 (13200)
959 1      0.282       0.040 Solve Fini schedule (441025)
869 6      0.057       0.011 Equation   Objective (1)
