100,0.01,"6,052.86",T,29.51%
,0.03,"6,337.38",T,37.08%
,0.05,"6,605.23",T,43.46%
,0.07,"6,946.04",T,47.83%
600,0.01,"4,441.43",T,53.30%
,0.03,"4,150.03",T,62.99%
,0.05,"4,234.92",T,66.95%
,0.07,"4,326.37",T,70.06%
900,0.01,"3,823.28",T,60.78%
,0.03,"3,133.00",T,72.81%
,0.05,"2,921.09",T,77.85%
,0.07,"3,254.70",T,78.05%
"1,500",0.01,"3,745.73",T,61.84%
,0.03,"3,849.86",T,66.37%
,0.05,"3,550.13",T,72.92%
,0.07,"3,696.89",T,74.96%
