1437      0.030
1481 6      0.031       0.034 Equation   Const_5 (13800)
1470 8      0.040       0.024 Equation   Const_3_2 (13800)
1442 3      0.249       0.009 Equation   Objective (1)
1359 4      0.212       0.004 Loop       
1485 9      0.038       0.038 Equation   Const_6 (13800)
1517 7      0.975       0.039 Solve Fini schedule (441025)
1475 2      0.096       0.027 Equation   Const_4_1 (13200)
1517 10      0.285       0.039 GAMS Fini   
1478 5      0.097       0.030 Equation   Const_4_2 (13200)
1467 1      0.038       0.020 Equation   Const_3_1 (13800)
