667      0.017
502 10      0.240       0.004 Equation   Objective (1)
511 4      0.308       0.006 Equation   Const1_1 (2400)
527 6      0.367       0.007 Equation   Const_3_1 (2300)
597 3      0.869       0.010 GAMS Fini   
530 5      0.351       0.007 Equation   Const_3_2 (2300)
535 2      0.388       0.008 Equation   Const_4_1 (2200)
541 8      0.177       0.009 Equation   Const_5 (2300)
538 1      0.304       0.008 Equation   Const_4_2 (2200)
545 9      0.217       0.009 Equation   Const_6 (2300)
597 7      1.573       0.010 Solve Fini schedule (73525)
