51      0.020
8805 2      0.053       0.032 Solve Fini SCHEDULE (14821)
8805 10      0.181       0.032 GAMS Fini   
8714 1      0.024       0.032 Equation   Const_6 (460)
8703 8      0.024       0.031 Equation   Const_3_2 (506)
8702 9      0.024       0.031 Equation   Const_3_1 (506)
8702 3      0.024       0.031 Equation   Const_3_1 (460)
8703 6      0.024       0.032 Equation   Const_3_2 (460)
8805 7      0.025       0.031 Solve Fini SCHEDULE (16315)
8714 5      0.025       0.031 Equation   Const_6 (506)
8805 4      0.176       0.031 GAMS Fini   
