 ,value
scen361,0.016949
scen362,0.016949
scen363,0.016949
scen364,0.016949
scen365,0.016949
scen366,0.016949
scen367,0.016949
scen368,0.016949
scen369,0.016949
scen370,0.016949
scen371,0.016949
scen372,0.016949
scen373,0.016949
scen374,0.016949
scen375,0.016949
scen376,0.016949
scen377,0.016949
scen378,0.016949
scen379,0.016949
scen380,0.016949
scen381,0.016949
scen382,0.016949
scen383,0.016949
scen384,0.016949
scen385,0.016949
scen386,0.016949
scen387,0.016949
scen388,0.016949
scen389,0.016949
scen390,0.016949
scen391,0.016949
scen392,0.016949
scen393,0.016949
scen394,0.016949
scen395,0.016949
scen396,0.016949
scen397,0.016949
scen398,0.016949
scen399,0.016949
scen400,0.016949
scen401,0.016949
scen402,0.016949
scen403,0.016949
scen404,0.015385
scen405,0.015385
scen406,0.015385
scen407,0.015385
scen408,0.015385
scen409,0.015385
scen410,0.015385
scen411,0.015385
scen412,0.015385
scen413,0.015385
scen414,0.015385
scen415,0.015385
scen416,0.015385
scen417,0.015385
scen418,0.015385
scen419,0.015385
scen420,0.015385
scen421,0.015385
scen422,0.015385
scen423,0.015385
scen424,0.015385
scen425,0.015385
scen426,0.015385
scen427,0.015385
scen428,0.015385
scen429,0.015385
scen430,0.015385
scen431,0.015385
scen432,0.015385
scen433,0.015385
scen434,0.015385
scen435,0.015385
scen436,0.015385
scen437,0.015385
scen438,0.015385
scen439,0.015385
scen440,0.015385
scen441,0.015385
scen442,0.015385
scen443,0.015385
scen444,0.015385
scen445,0.015385
scen446,0.015385
scen447,0.015385
scen448,0.015385
scen449,0.015385
scen450,0.015385
scen451,0.015385
scen452,0.015385
scen453,0.015385
scen454,0.015385
scen455,0.015385
scen456,0.015385
scen457,0.015385
scen458,0.015385
scen459,0.015385
scen460,0.015385
scen461,0.015385
scen462,0.015385
scen463,0.015385
scen464,0.015385
scen465,0.015385
scen466,0.015385
scen467,0.015385
scen468,0.015385
scen469,0.013889
scen470,0.013889
scen471,0.013889
scen472,0.013889
scen473,0.013889
scen474,0.013889
