3413      0.086
1156 9      0.134       0.057 Equation   Const_4_2FIX (19800)
1025 2      0.273       0.005 Loop       
1154 4      0.162       0.046 Equation   Const_4_2 (19800)
1264 3      0.270       0.068 Solve Fini SCHEDULEFIX (661525)
1264 1      0.123       0.068 GAMS Fini   
1150 10      0.116       0.042 Equation   Const_4_1 (19800)
1152 5      0.104       0.053 Equation   Const_4_1FIX (19800)
1118 6      0.086       0.015 Equation   Objective (1)
1201 7      0.397       0.058 Solve Fini schedule (661525)
1116 8      0.134       0.027 Equation   ObjectiveFIX (1)
