,Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,IR,AP
0,600.0,0.05,1.0,2.0,0.0,0.62167,0.62251,4709.68284,10311.17741,0.54324,4201.0,4203.0,445.45738,3900.99287,5442.95567,4960.27021
1,600.0,0.05,2.0,2.0,0.0,0.51878,0.62251,4709.68284,10311.17741,0.51878,4201.0,4203.0,132.25738,4961.91515,5442.95567,4960.27021
2,600.0,0.05,3.0,2.0,0.0,0.62167,0.62251,4709.68284,10311.17741,0.54324,4201.0,4203.0,679.75738,3900.99287,5442.95567,4960.27021
3,600.0,0.05,4.0,2.0,0.0,0.62167,0.62251,4709.68284,10311.17741,0.54324,4201.0,4203.0,681.04418,3900.99287,5442.95567,4960.27021
4,600.0,0.05,5.0,2.0,0.0,0.51878,0.62251,4709.68284,10311.17741,0.51878,4201.0,4203.0,282.25738,4961.91515,5442.95567,4960.27021
5,600.0,0.05,6.0,2.0,0.0,0.56806,0.62251,4709.68284,9031.23678,0.47851,4201.0,4203.0,0.0,3900.99287,5442.95567,4960.27021
