 ,value
scen317,0.0022
scen318,0.0016
scen319,0.0026
scen320,0.0014
scen321,0.0012
scen322,0.0022
scen323,0.003
scen324,0.0016
scen325,0.0024
scen326,0.001
scen327,0.0016
scen328,0.0012
scen329,0.0022
scen330,0.0012
scen331,0.002
scen332,0.0014
scen333,0.0018
scen334,0.0018
scen335,0.0008
scen336,0.002
scen337,0.001
scen338,0.0012
scen339,0.002
scen340,0.0002
scen341,0.0014
scen342,0.0012
scen343,0.0016
scen344,0.0012
scen345,0.004
scen346,0.0022
scen347,0.0048
scen348,0.0026
scen349,0.0044
scen350,0.0032
scen351,0.0028
scen352,0.0024
scen353,0.0024
scen354,0.002
scen355,0.001
scen356,0.0026
scen357,0.0016
scen358,0.0022
scen359,0.0046
scen360,0.0028
scen361,0.0024
scen362,0.0028
scen363,0.0028
scen364,0.0018
scen365,0.0018
scen366,0.002
scen367,0.0018
scen368,0.002
scen369,0.001
scen370,0.0022
scen371,0.0016
scen372,0.0026
scen373,0.0014
scen374,0.0012
scen375,0.0022
scen376,0.003
scen377,0.0016
scen378,0.0024
scen379,0.001
scen380,0.0016
scen381,0.0012
scen382,0.0022
scen383,0.0012
scen384,0.002
scen385,0.0014
scen386,0.0018
scen387,0.003
scen388,0.0008
scen389,0.0016
scen390,0.001
scen391,0.0012
scen392,0.0018
scen393,0.0002
scen394,0.0014
scen395,0.0012
scen396,0.0016
scen397,0.0012
scen398,0.0014
scen399,0.0014
scen400,0.0016
scen401,0.003
scen402,0.001
scen403,0.0018
scen404,0.0024
scen405,0.0044
scen406,0.0028
scen407,0.0028
scen408,0.002
scen409,0.0032
scen410,0.0022
scen411,0.0024
scen412,0.0028
scen413,0.0026
scen414,0.001
scen415,0.0026
scen416,0.0016
scen417,0.0026
scen418,0.0046
scen419,0.0016
scen420,0.0024
scen421,0.001
scen422,0.0016
scen423,0.0018
scen424,0.0018
scen425,0.002
scen426,0.0018
scen427,0.002
scen428,0.001
scen429,0.0022
scen430,0.0016
scen431,0.003
scen432,0.0014
scen433,0.0012
scen434,0.0022
scen435,0.0022
scen436,0.0018
scen437,0.0014
scen438,0.001
scen439,0.0016
scen440,0.0012
scen441,0.0022
scen442,0.0012
scen443,0.002
scen444,0.0014
scen445,0.0018
scen446,0.003
scen447,0.0008
scen448,0.0016
scen449,0.001
scen450,0.0012
scen451,0.0018
scen452,0.0002
scen453,0.0014
scen454,0.0012
scen455,0.0016
scen456,0.0012
scen457,0.0014
scen458,0.0014
scen459,0.0016
scen460,0.0014
scen461,0.001
scen462,0.0018
scen463,0.0022
scen464,0.0008
scen465,0.001
scen466,0.0014
scen467,0.0014
scen468,0.003
scen469,0.0032
scen470,0.0028
scen471,0.0022
scen472,0.0016
scen473,0.002
scen474,0.0026
scen475,0.0026
scen476,0.0016
scen477,0.0022
scen478,0.0026
scen479,0.001
scen480,0.0016
scen481,0.0016
scen482,0.0014
scen483,0.0018
scen484,0.0012
scen485,0.0024
scen486,0.001
scen487,0.0016
scen488,0.0018
scen489,0.0018
scen490,0.002
scen491,0.0018
scen492,0.002
scen493,0.001
scen494,0.0022
scen495,0.0016
scen496,0.003
scen497,0.0024
scen498,0.0012
scen499,0.001
scen500,0.0022
scen501,0.002
scen502,0.0014
scen503,0.001
scen504,0.0016
scen505,0.0012
scen506,0.0012
scen507,0.0012
scen508,0.002
scen509,0.0014
scen510,0.0018
scen511,0.003
scen512,0.0008
scen513,0.0016
scen514,0.001
scen515,0.0012
scen516,0.0018
scen517,0.0002
scen518,0.0014
scen519,0.0012
scen520,0.0016
scen521,0.0012
scen522,0.0014
scen523,0.0014
scen524,0.0016
scen525,0.0014
scen526,0.001
scen527,0.0018
scen528,0.0022
scen529,0.0008
scen530,0.0024
scen531,0.0014
scen532,0.0014
scen533,0.003
scen534,0.0018
scen535,0.0012
scen536,0.0012
scen537,0.001
scen538,0.001
scen539,0.0008
scen540,0.0022
scen541,0.0024
scen542,0.0016
scen543,0.0022
scen544,0.0016
