Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter,Obj. LR,Heuristic Time
1500.0,0.01,5.0,10.0,0.0,0.11768,0.10033,240.29346,266.70891,249.13869,0.09904,4210.0,6343.0,0.0,235.32234,0.0,1.0,0.53429,10.0,,
1500.0,0.01,6.0,8.0,0.0,0.11768,0.10033,240.29346,266.70891,249.13869,0.09904,4210.0,44054.0,0.15285,235.32234,0.0,1.0,0.53429,10.0,,
1500.0,0.01,1.0,10.0,0.0,0.09563,0.09126,242.2402,266.12954,250.01422,0.08977,4212.0,5379.0,791.7,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,2.0,10.0,0.0,0.09427,0.09126,242.2402,265.73178,250.01422,0.0884,4212.0,6117.0,200.0,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,3.0,10.0,0.0,0.09427,0.09126,242.2402,265.73178,250.01422,0.0884,4212.0,5385.0,1067.85552,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,4.0,10.0,0.0,0.09563,0.09126,242.2402,266.12954,250.01422,0.08977,4212.0,5389.0,1000.3452,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,5.0,10.0,0.0,0.09427,0.09126,242.2402,265.73178,250.01422,0.0884,4212.0,6063.0,0.0,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,6.0,8.0,0.0,0.09563,0.09126,242.2402,266.12954,250.01422,0.08977,4212.0,48261.0,0.15697,240.68004,0.0,1.0,0.49668,13.0,,
1500.0,0.01,1.0,10.0,0.0,0.08908,0.09936,241.17192,267.65321,251.07959,0.08908,4212.0,5478.0,791.7,243.81112,0.0,1.0,0.47054,3.0,,
1500.0,0.01,2.0,10.0,0.0,0.08908,0.09936,241.17192,267.65321,251.07959,0.08908,4212.0,6548.0,200.0,243.81112,0.0,1.0,0.47054,3.0,,
1500.0,0.01,3.0,10.0,0.0,0.08908,0.09936,241.17192,267.65321,251.07959,0.08908,4212.0,5464.0,1067.85552,243.81112,0.0,1.0,0.47054,3.0,,
1500.0,0.01,4.0,10.0,0.0,0.08908,0.09936,241.17192,267.65321,251.07959,0.08908,4212.0,5477.0,1000.3452,243.81112,0.0,1.0,0.47054,3.0,,
1500.0,0.01,5.0,10.0,0.0,0.08908,0.09936,241.17192,267.65321,251.07959,0.08908,4212.0,6339.0,0.0,243.81112,0.0,1.0,0.47054,3.0,,
1500.0,0.01,6.0,8.0,0.0,0.04879,0.09936,241.17192,256.31762,256.31762,0.04879,4212.0,52944.0,0.32017,243.81112,0.0,8.0,0.88865,11.0,,
1500.0,0.01,1.0,10.0,0.0,0.09392,0.0931,242.61655,267.03797,249.07989,0.09145,4211.0,5471.0,791.7,241.95789,0.0,1.0,0.48627,15.0,,
1500.0,0.01,2.0,10.0,0.0,0.09392,0.0931,242.61655,267.03797,249.07989,0.09145,4211.0,6595.0,200.0,241.95789,0.0,1.0,0.48627,15.0,,
1500.0,0.01,3.0,10.0,0.0,0.09392,0.0931,242.61655,267.03797,249.07989,0.09145,4211.0,5465.0,1067.85552,241.95789,0.0,1.0,0.48627,15.0,,
1500.0,0.01,4.0,10.0,0.0,0.09392,0.0931,242.61655,267.03797,249.07989,0.09145,4211.0,5469.0,1000.3452,241.95789,0.0,1.0,0.48627,15.0,,
1500.0,0.01,5.0,10.0,0.0,0.09392,0.0931,242.61655,267.03797,249.07989,0.09145,4211.0,6277.0,0.0,241.95789,0.0,1.0,0.48627,15.0,,
1500.0,0.01,6.0,7.0,0.0,0.09392,0.0931,242.61655,267.03674,250.29075,0.09145,4211.0,50996.0,0.6302,241.95789,0.0,3.0,0.34474,3.0,,
1500.0,0.01,1.0,10.0,0.0,0.12887,0.11841,232.67939,264.05544,245.74261,0.11882,4212.0,5546.0,800.4,230.02785,0.0,1.0,0.5218,-6.0,,
1500.0,0.01,2.0,3.0,1.0,0.12226,0.11841,232.67939,262.06911,248.15522,0.11214,4212.0,20036.0,0.5218,230.02785,1.0,3.0,0.5218,0.0,,
1500.0,0.01,3.0,10.0,0.0,0.12889,0.11841,232.67939,264.06396,245.74261,0.11885,4212.0,5521.0,854.10552,230.02785,0.0,1.0,0.5218,-6.0,,
1500.0,0.01,4.0,10.0,0.0,0.12887,0.11841,232.67939,264.05544,245.74261,0.11882,4212.0,5517.0,816.31704,230.02785,0.0,1.0,0.5218,-6.0,,
1500.0,0.01,5.0,10.0,0.0,0.12887,0.11841,232.67939,264.05544,245.74261,0.11882,4212.0,6243.0,0.0,230.02785,0.0,1.0,0.5218,-6.0,,
1500.0,0.01,6.0,7.0,0.0,0.0993,0.11841,232.67939,255.38854,255.38854,0.08892,4212.0,44261.0,0.83786,230.02785,0.0,5.0,1.49752,12.0,,
1500.0,0.01,1.0,10.0,0.0,0.09254,0.09329,243.06316,267.90966,249.47615,0.09254,4212.0,5497.0,791.7,243.11659,0.0,1.0,0.47326,12.0,,
1500.0,0.01,2.0,10.0,0.0,0.09254,0.09329,243.06316,267.90966,249.47615,0.09254,4212.0,6668.0,200.0,243.11659,0.0,1.0,0.47326,12.0,,
1500.0,0.01,3.0,10.0,0.0,0.09364,0.09329,243.06316,268.23399,249.47615,0.09364,4212.0,5501.0,1067.85552,243.11659,0.0,1.0,0.47326,12.0,,
