Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,1.0,10.0,0.0,0.12304,0.17656,235.30489,283.13214,271.937,0.12304,4237.0,5081.0,174.45466,248.29647,0.0,1.0,0.45466,-570.0
600.0,0.05,2.0,7.0,0.0,0.10343,0.17656,235.30489,276.93931,271.937,0.10343,4237.0,50026.0,200.45466,248.29647,0.0,5.0,0.45466,-570.0
600.0,0.05,3.0,10.0,0.0,0.12304,0.17656,235.30489,283.13214,271.937,0.12304,4237.0,5082.0,456.1657,248.29647,0.0,1.0,0.45466,-570.0
600.0,0.05,4.0,10.0,0.0,0.12304,0.17656,235.30489,283.13214,271.937,0.12304,4237.0,5080.0,449.82472,248.29647,0.0,1.0,0.45466,-570.0
600.0,0.05,5.0,10.0,0.0,0.12304,0.17656,235.30489,283.13214,271.937,0.12304,4237.0,5286.0,0.0,248.29647,0.0,1.0,0.45466,-570.0
600.0,0.05,6.0,10.0,0.0,0.09578,0.17656,235.30489,274.59705,274.59705,0.09578,4237.0,34070.0,0.31008,248.29647,0.0,4.0,0.99226,21.99999
