Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic
900.0,0.05,1.0,2.0,0.0,0.62327,0.65394,4448.96785,10538.6371,0.57784,4202.0,4202.0,557.98605,3970.18421
900.0,0.05,2.0,2.0,0.0,0.61599,0.65394,4448.96785,10338.6371,0.56968,4202.0,4203.0,88.65388,3970.18421
900.0,0.05,3.0,2.0,0.0,0.62327,0.65394,4448.96785,10538.6371,0.57784,4202.0,4202.0,909.43605,3970.18421
900.0,0.05,4.0,2.0,0.0,0.62327,0.65394,4448.96785,10538.6371,0.57784,4202.0,4205.0,911.36624,3970.18421
900.0,0.05,5.0,2.0,0.0,0.61224,0.65394,4448.96785,10238.6371,0.56547,4202.0,4203.0,88.71236,3970.18421
900.0,0.05,6.0,2.0,0.0,0.55418,0.65394,4448.96785,8905.37837,0.50042,4202.0,4203.0,0.0,3970.18421
