,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11,iter12,iter13,iter14,iter15,iter16,iter17,iter18,iter19,iter20,iter21,iter22,iter23,iter24,iter25,iter26,iter27,iter28,iter29,iter30,iter31,iter32,iter33,iter34,iter35,iter36,iter37,iter38,iter39,iter40,iter41,iter42,iter43,iter44,iter45,iter46,iter47,iter48,iter49,iter50,iter51,iter52,iter53,iter54,iter55,iter56,iter57,iter58,iter59,iter60
t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t8,7.21,15.14,12.41,5.72,5.61,4.6,14.42,3.31,19.72,5.93,14.41,14.41,5.4,6.9,15.41,9.32,8.63,5.5,0.37,5.17,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t9,0,56.01,0,22.28,52.62,52.62,30.83,28.27,40.47,3.03,33.51,36.38,28.764,51.49,45.62,45.25,43.54,52.28,5.38,53.36,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t10,497.641,580.01,593.5,512.129,592.94,553.124,511.632,614.69,574.173,584.806,549.31,485.83,538.51,525.008,499.558,562.241,467.39,455.563,482.34,577.637,568.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t11,590.42,704.99,625.518,895.1,753.723,743.56,729.82,517.868,793.168,804.62,801.361,912.87,680.193,783.819,755.451,744.71,831.802,776.78,581.195,774.071,677.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t12,805.966,933.166,837.3,787.47,1022.71,921.09,942.3,843.17,771.91,967.66,864.35,785.991,886.85,779.568,875.28,773.036,893.89,924.302,948.237,782.245,870.497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t13,876.04,623.7,1071.4,816.365,951.6,945,792.08,1042.09,910.21,978.66,838.008,768.56,935.26,897.37,971.324,919.91,944.401,933.814,952.578,1081.529,940.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t14,1027.26,1111.45,1098.047,906.193,830.94,1098.25,1094.933,1133.848,793.608,1015.362,914.752,1025.637,1058.99,1020.852,965.84,1040.61,1076.69,989.425,1000.311,840.483,986.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t15,871.98,920.63,614.37,997.31,946.38,983.98,1002.06,933.29,1003.42,993.5,863.319,905.07,836.2,936.71,1036.342,798.67,954.797,911.527,899.421,958.187,989.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t16,875.49,849.17,700.51,805.88,966.12,902.33,777,909.81,779.04,749.79,822.87,910.556,902.32,834.43,923.76,772.2,780.985,831.04,890.43,801.48,855.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t17,758.86,839.48,786.31,869.15,845.023,754.42,837.999,892.2,770.24,793.91,838.89,796.63,757.12,814.47,828.828,777.62,797.815,793.48,749.46,808.3,818.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t18,890.26,846.44,873.46,831.29,809.71,839.62,817.931,773.85,839.64,837.53,849.36,856.18,838.32,829.83,767.662,831.52,831.76,822.31,828.44,817.35,816.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t19,199.37,183.24,180.24,197.34,220.617,171.97,198.22,198.8,188.19,177.51,182.15,210.18,197.597,201.58,195.72,186.6,195.25,182.05,184.84,196.03,178.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
