 ,value
scen1,0.0162
scen2,0.0142
scen3,0.0124
scen4,0.0156
scen5,0.0136
scen6,0.0202
scen7,0.0158
scen8,0.0236
scen9,0.0156
scen10,0.0162
scen11,0.0152
scen12,0.0184
scen13,0.0112
scen14,0.0262
scen15,0.012
scen16,0.0058
scen17,0.0132
scen18,0.014
scen19,0.0124
scen20,0.008
scen21,0.0124
scen22,0.0156
scen23,0.0158
scen24,0.0156
scen25,0.0136
scen26,0.0202
scen27,0.012
scen28,0.0236
scen29,0.014
scen30,0.0162
scen31,0.0152
scen32,0.0184
scen33,0.0112
scen34,0.0262
scen35,0.0084
scen36,0.0058
scen37,0.0132
scen38,0.0086
scen39,0.0124
scen40,0.008
scen41,0.0076
scen42,0.0058
scen43,0.0156
scen44,0.0136
scen45,0.0262
scen46,0.0156
scen47,0.0162
scen48,0.0202
scen49,0.0094
scen50,0.0236
scen51,0.014
scen52,0.0064
scen53,0.0152
scen54,0.0184
scen55,0.0112
scen56,0.0078
scen57,0.0084
scen58,0.0058
scen59,0.0132
scen60,0.0086
scen61,0.0124
scen62,0.008
scen63,0.0076
scen64,0.0058
scen65,0.0046
scen66,0.0064
scen67,0.0056
scen68,0.0156
scen69,0.0162
scen70,0.0202
scen71,0.014
scen72,0.0152
scen73,0.0112
scen74,0.0094
scen75,0.0236
scen76,0.02
scen77,0.0064
scen78,0.0096
scen79,0.0184
scen80,0.0084
scen81,0.0078
scen82,0.0084
scen83,0.0058
scen84,0.0132
scen85,0.0086
scen86,0.0124
scen87,0.008
scen88,0.0076
scen89,0.0058
scen90,0.0046
scen91,0.0064
scen92,0.0056
scen93,0.0072
scen94,0.0062
scen95,0.004
scen96,0.0236
scen97,0.02
scen98,0.0202
scen99,0.0132
scen100,0.0152
scen101,0.0112
scen102,0.0094
scen103,0.0116
scen104,0.0096
scen105,0.0064
scen106,0.0096
scen107,0.0184
scen108,0.0084
scen109,0.0078
scen110,0.0084
scen111,0.0058
scen112,0.0078
scen113,0.0086
scen114,0.0124
scen115,0.008
scen116,0.0076
scen117,0.0058
scen118,0.0046
scen119,0.0064
scen120,0.0056
scen121,0.0072
scen122,0.0062
scen123,0.004
scen124,0.004
scen125,0.0066
scen126,0.0062
scen127,0.0112
scen128,0.0152
