Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR,Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,Heuristic Time
1500.0,0.01,1.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2394.0,861.3,243.11659,
1500.0,0.01,2.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2392.0,0.13468,243.11659,
1500.0,0.01,3.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2390.0,1113.75,243.11659,
1500.0,0.01,4.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2387.0,1050.05357,243.11659,
1500.0,0.01,5.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2389.0,0.10101,243.11659,
1500.0,0.01,6.0,2.0,0.0,0.02549,0.09329,243.06316,249.47615,0.02549,4212.0,2387.0,0.34298,243.11659,64.0
,,,,,,,,,,,,,0.0,
,,,,,,,,,,,,,0.0,
