Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,4.0,2.0,0.0,0.5548,0.61878,4855.31973,13030.76989,10833.67623,0.5548,4201.0,4203.0,680.69516,5801.29797,0.0,1.0,131.90837,-570.0
600.0,0.05,5.0,2.0,0.0,0.5548,0.61878,4855.31973,13030.76989,10833.67623,0.5548,4201.0,4202.0,281.90837,5801.29797,0.0,1.0,131.90837,-570.0
600.0,0.05,6.0,2.0,0.0,0.5548,0.61878,4855.31973,13030.76989,10833.67623,0.5548,4201.0,4203.0,0.0,5801.29797,0.0,1.0,131.90837,-570.0
600.0,0.05,1.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4202.0,445.66915,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,2.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4202.0,132.46915,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,3.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4201.0,679.96915,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,4.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4202.0,681.25595,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,5.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4202.0,282.46915,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,6.0,2.0,0.0,0.55949,0.61216,4858.97298,12840.73195,10320.36166,0.55949,4201.0,4202.0,0.0,5656.52488,0.0,1.0,132.46915,-570.0
600.0,0.05,1.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4201.0,445.65389,5766.03422,0.0,1.0,132.45389,-570.0
600.0,0.05,2.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4202.0,132.45389,5766.03422,0.0,1.0,132.45389,-570.0
600.0,0.05,3.0,2.0,0.0,0.55505,0.60857,4958.88826,12958.82375,10351.1179,0.55505,4201.0,4202.0,679.95389,5766.03422,0.0,1.0,132.45389,-570.0
