Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.01,4.0,2.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4203.0,135.53124,5253.78486,0.0,1.0,145.77388,6.0
600.0,0.01,5.0,3.0,0.0,0.45892,0.50348,4696.25757,9709.78667,5528.64009,0.45892,4201.0,4209.0,50.0,5253.78486,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.4597,0.50348,4696.25757,9723.84499,5363.93488,0.4597,4201.0,4209.0,0.0,5253.78486,0.0,1.0,145.77388,6.0
600.0,0.01,1.0,2.0,0.0,0.48526,0.49178,4697.82384,9495.71117,5109.07998,0.48526,4201.0,4202.0,137.91583,4887.83511,0.0,1.0,144.87583,6.0
600.0,0.01,2.0,3.0,0.0,0.48526,0.49178,4697.82384,9495.71117,5109.07998,0.48526,4201.0,4215.0,0.0,4887.83511,0.0,1.0,144.87583,6.0
600.0,0.01,3.0,2.0,0.0,0.48526,0.49178,4697.82384,9495.71117,5109.07998,0.48526,4201.0,4205.0,134.37583,4887.83511,0.0,1.0,144.87583,6.0
600.0,0.01,4.0,2.0,0.0,0.48526,0.49178,4697.82384,9495.71117,5109.07998,0.48526,4201.0,4202.0,134.63319,4887.83511,0.0,1.0,144.87583,6.0
600.0,0.01,5.0,3.0,0.0,0.48513,0.49178,4697.82384,9493.32261,5294.35759,0.48513,4201.0,4208.0,50.0,4887.83511,0.0,3.0,150.0,6.0
600.0,0.01,6.0,3.0,0.0,0.48526,0.49178,4697.82384,9495.71117,5109.07998,0.48526,4201.0,4209.0,0.0,4887.83511,0.0,1.0,144.87583,6.0
600.0,0.01,1.0,2.0,0.0,0.47732,0.48555,4843.75961,9694.84706,5510.04924,0.47732,4201.0,4203.0,139.46806,5067.29095,0.0,1.0,146.42806,6.0
600.0,0.01,2.0,3.0,0.0,0.47732,0.48555,4843.75961,9694.84706,5510.04924,0.47732,4201.0,4208.0,0.0,5067.29095,0.0,1.0,146.42806,6.0
600.0,0.01,3.0,2.0,0.0,0.47693,0.48555,4843.75961,9687.59915,5577.93818,0.47693,4201.0,4203.0,135.92806,5067.29095,0.0,2.0,140.42806,6.0
600.0,0.01,4.0,2.0,0.0,0.47693,0.48555,4843.75961,9687.59915,5577.93818,0.47693,4201.0,4202.0,136.18542,5067.29095,0.0,2.0,140.42806,6.0
