1437      0.034
1477 5      0.100       0.030 Equation   Const_4_2 (13200)
1450 7      0.039       0.017 Equation   Const1_1 (14400)
1441 9      0.186       0.009 Equation   Objective (1)
1466 3      0.083       0.020 Equation   Const_3_1 (13800)
1516 10      1.007       0.039 Solve Fini schedule (441025)
1474 6      0.118       0.027 Equation   Const_4_1 (13200)
1516 1      0.249       0.039 GAMS Fini   
1484 4      0.040       0.038 Equation   Const_6 (13800)
1358 8      0.223       0.004 Loop       
1469 2      0.127       0.024 Equation   Const_3_2 (13800)
