2087      0.029
1213 2      0.044       0.052 Equation   Const_5 (20700)
1257 3      0.392       0.058 Solve Fini schedule (661525)
1074 6      0.218       0.005 Loop       
1205 7      0.071       0.042 Equation   Const_4_1 (19800)
1169 5      0.086       0.015 Equation   Objective (1)
1209 4      0.131       0.046 Equation   Const_4_2 (19800)
1257 1      0.130       0.058 GAMS Fini   
1199 9      0.032       0.038 Equation   Const_3_2 (20700)
1218 8      0.038       0.057 Equation   Const_6 (20700)
1196 10      0.030       0.031 Equation   Const_3_1 (20700)
