"iter1",-231.583,6.000
"iter2",-231.652,4.000
"iter3",-231.650,3.000
"iter4",-231.482,4.000
"iter5",-231.506,3.000
"iter6",-231.638,4.000
"iter7",-231.637,4.000
"iter8",-231.636,3.000
"iter9",-231.583,3.000
"iter10",-231.330,3.000
"iter11",-231.669,3.000
"iter12",-231.526,3.000
"iter13",-231.651,4.000
"iter14",-231.503,3.000
"iter15",-231.605,3.000
"iter16",-231.632,3.000
"iter17",-231.509,3.000
"iter18",-231.493,3.000
"iter19",-265.537,3.000
"iter20",-264.519,3.000
"iter21",-260.186,2.000
"iter22",-260.116,2.000
"iter23",-260.162,2.000
"iter24",-260.115,2.000
"iter25",-261.141,2.000
"iter26",-261.134,2.000
"iter27",-258.879,2.000
"iter28",-260.817,2.000
"iter29",-260.750,1.000
"iter30",-260.151,1.000
